19.04.2015                                                                                                                                               Dynamic List Display                                                                                                                                                      1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ISOURCE                      |OBJVERS|APPLNM                      |COMSTRU                      |OWNER       |TSTPNM     |           TIMESTMP|CONTREL|       CONTTIMESTMP|BCTCOMP|ISSRCTYPE|INVISIBLE|TXTSH               |TXTMD                                   |TXTLG                                                       |
|  0AF_SEAN_TEXT                |D      |0IS_AF-IO                   |0AF_SEAN_TEXT                |SAP         |SAP        |20,031,210,123,038 |3.5/02 |20,031,210,123,038 |       |         |         |AFS Season, Collec. |AFS Season, Collection, Theme (Text)    |AFS Season, Collection, Theme (Text)                        |
|  0AF_SIZE_TXT                 |D      |0IS_AF-IO                   |0AF_SIZE_TXT                 |SAP         |SAP        |20,031,121,120,256 |3.5/02 |20,031,121,120,256 |       |         |         |AFS Elementary Field|AFS Elementary Field "Size" - Texts     |AFS Elementary Field "Size" - Texts                         |
|  0AI_1                        |D      |0AII                        |0AI_1                        |SAP         |SAP        |20,050,601,160,756 |7.0/02 |20,050,601,160,756 |       |         |         |SAP AII: Transaction|SAP AII: Transaction Data               |SAP AII: Transaction Data                                   |
|  0APO_DP_FORECAST_01          |D      |0APO                        |0APO_DP_FORECAST_01          |SAP         |SAP        |20,030,219,140,845 |3.2/01 |20,030,219,140,845 |       |         |         |APO->BW: DP Planned |APO->BW: DP Planned Sales               |APO->BW: DP Planned Sales                                   |
|  0APO_DP_ORDERANALYTICS_1     |D      |0APO                        |0APO_DP_ORDERANALYTICS_1     |SAP         |SAP        |20,050,805,211,907 |7.0/02 |20,050,805,211,907 |       |         |         |APO->BW: DP Order An|APO->BW: DP Order Analytics             |APO->BW: DP Order Analytics                                 |
|  0APO_LOCNO_ATTR              |A      |0APO-IO                     |0APO_LOCNO_ATTR              |SAP         |50435686   |20,110,111,143,638 |       |                 0 |       |         |         |APO Location Attribs|APO Location Attributes                 |APO Location Attributes                                     |
|  0APO_LOCNO_ATTR              |D      |0APO-IO                     |0APO_LOCNO_ATTR              |SAP         |SAP        |20,080,602,113,706 |7.0/04 |20,080,602,113,706 |       |         |         |APO Location Attribs|APO Location Attributes                 |APO Location Attributes                                     |
|  0APO_LOCNO_TEXT              |A      |0APO-IO                     |0APO_LOCNO_TEXT              |SAP         |SAP        |20,080,602,114,525 |7.0/04 |20,080,602,114,525 |       |         |         |APO Location Text   |APO Location Text                       |APO Location Text                                           |
|  0APO_LOCNO_TEXT              |D      |0APO-IO                     |0APO_LOCNO_TEXT              |SAP         |SAP        |20,080,602,114,525 |7.0/04 |20,080,602,114,525 |       |         |         |APO Location Text   |APO Location Text                       |APO Location Text                                           |
|  0APO_MSP_1                   |D      |0APO                        |0APO_MSP_1                   |SAP         |SAP        |20,040,209,142,825 |3.5/02 |20,040,209,142,825 |       |         |         |MSP Demand Data     |MSP Demand Data                         |MSP Demand Data                                             |
|  0APO_MSP_2                   |D      |0APO                        |0APO_MSP_2                   |SAP         |SAP        |20,040,122,115,432 |3.5/02 |20,040,122,115,432 |       |         |         |MSP Slot Data       |MSP Slot Data                           |MSP Slot Data                                               |
|  0APO_MSP_3                   |D      |0APO                        |0APO_MSP_3                   |SAP         |SAP        |20,040,204,105,457 |3.5/02 |20,040,204,105,457 |       |         |         |MSP Check Order Data|MSP Check Order Data                    |MSP Check Order Data                                        |
|  0APO_MSP_4                   |D      |0APO                        |0APO_MSP_4                   |SAP         |SAP        |20,040,123,113,320 |3.5/02 |20,040,123,113,320 |       |         |         |MSP Alert Data      |MSP Alert Data                          |MSP Alert Data                                              |
|  0APO_PPDS_CDS_1              |D      |0APO                        |0APO_PPDS_CDS_1              |SAP         |SAP        |20,030,603,133,503 |3.3/01 |20,030,603,133,503 |       |         |         |APO->BW: DDS/Confs  |APO->BW: DDS/Confirmations for Sales SAs|APO->BW: Due Delivery Schedules/Confirmations for Sales SAs |
|  0APO_PPDS_OPERATION_01       |D      |0APO                        |0APO_PPDS_OPERATION_01       |SAP         |SAP        |20,000,414,164,358 |2.0/02 |20,000,414,164,358 |       |         |         |APO->BW: Trans. Data|APO->BW: Transaction Data Operations 01 |APO->BW: Transaction Data Operations 01                     |
|  0APO_PPDS_ORDER_01           |D      |0APO                        |0APO_PPDS_ORDER_01           |SAP         |SAP        |20,030,122,152,848 |3.2/01 |20,030,122,152,848 |       |         |         |APO->BW: Trans. Data|APO->BW: Transaction Data Orders 01     |APO->BW: Transaction Data Orders 01                         |
|  0APO_PPDS_PROD_CUST_01       |D      |0APO                        |0APO_PPDS_PROD_CUST_01       |SAP         |SAP        |20,061,122,142,749 |7.0/03 |20,061,122,142,749 |       |         |         |APO->BW: Trans. Data|APO->BW Transaction Data Ord. Assignment|APO->BW: Transaction Data Order Assignments 01              |
|  0APO_PPDS_RESCAPREQ_01       |D      |0APO                        |0APO_PPDS_RESCAPREQ_01       |SAP         |SAP        |20,000,324,163,855 |2.0/02 |20,000,324,163,855 |       |         |         |APO->BW: Trans. Data|APO->BW: Transaction Data Resources 01  |APO->BW: Transaction Data Resources 01                      |
|  0APO_PROD_ATTR               |A      |0APO-IO                     |0APO_PROD_ATTR               |SAP         |10131153   |20,080,721,130,043 |       |                 0 |       |         |         |APO Product Attribs |APO Product Attributes                  |APO Product Attributes                                      |
|  0APO_PROD_ATTR               |D      |0APO-IO                     |0APO_PROD_ATTR               |SAP         |SAP        |20,050,705,180,323 |7.0/02 |20,050,705,180,323 |       |         |         |APO Product Attribs |APO Product Attributes                  |APO Product Attributes                                      |
|  0APO_PROD_TEXT               |A      |0APO-IO                     |0APO_PROD_TEXT               |SAP         |SAP        |20,020,305,152,223 |3.0/02 |20,020,305,152,223 |       |         |         |APO Product Text    |APO Product Text                        |APO Product Text                                            |
|  0APO_PROD_TEXT               |D      |0APO-IO                     |0APO_PROD_TEXT               |SAP         |SAP        |20,020,305,152,223 |3.0/02 |20,020,305,152,223 |       |         |         |APO Product Text    |APO Product Text                        |APO Product Text                                            |
|  0APO_SNP_GLOBALCAPUTIL_1     |D      |0APO                        |0APO_SNP_GLOBALCAPUTIL_1     |SAP         |SAP        |20,050,805,133,012 |7.0/02 |20,050,805,133,012 |       |         |         |APO->BW: SNP Global |APO->BW: SNP Global Capacity Utilization|APO->BW: SNP Global Capacity Utilization                    |
|  0APO_SNP_GLOBALINVVIEW_1     |D      |0APO                        |0APO_SNP_GLOBALINVVIEW_1     |SAP         |SAP        |20,050,805,145,500 |7.0/02 |20,050,805,145,500 |       |         |         |APO->BW: SNP Global |APO->BW: SNP Global Inventory View      |APO->BW: SNP Global Inventory View                          |
|  0APPR_REQU_ATTR              |D      |IM-IO                       |0APPR_REQU_ATTR              |SAP         |SAP        |20,030,115,102,304 |3.2/01 |20,030,115,102,304 |       |         |         |AppropriationRequest|Appropriation Request - Master Data     |Appropriation Request - Master Data                         |
|  0APPR_REQU_TEXT              |D      |IM-IO                       |0APPR_REQU_TEXT              |SAP         |SAP        |20,030,114,165,547 |3.2/01 |20,030,114,165,547 |       |         |         |AppropriationRequest|Appropriation Request - Texts           |Appropriation Request - Texts                               |
|  0ASSET_ATTR_TEXT             |D      |FI-AA-IO                    |0ASSET_ATTR_TEXT             |SAP         |SAP        |20,080,515,152,321 |7.0/04 |20,080,515,152,321 |       |         |         |Asset Subnumber     |Asset Subnumber (Flexible Update)       |Asset Subnumber (Flexible Update)                           |
|  0AUD_AC                      |D      |0AUD                        |0AUD_AC                      |SAP         |SAP        |20,041,214,142,445 |7.0/02 |20,041,214,142,445 |       |         |         |Action Trans. Data  |Action Transaction Data                 |Action Transaction Data                                     |
|  0AUD_AU                      |D      |0AUD                        |0AUD_AU                      |SAP         |SAP        |20,041,210,165,924 |7.0/02 |20,041,210,165,924 |       |         |         |Audit Trans. Data   |Audit Transaction Data                  |Audit Transaction Data                                      |
|  0AUD_OBJ                     |D      |0AUD                        |0AUD_OBJ                     |SAP         |SAP        |20,041,215,104,112 |7.0/02 |20,041,215,104,112 |       |         |         |Audit Object Data   |Audit Object Transaction Data           |Audit Object Transaction Data                               |
|  0AUD_QUE                     |D      |0AUD                        |0AUD_QUE                     |SAP         |SAP        |20,041,215,065,753 |7.0/02 |20,041,215,065,753 |       |         |         |Audit Question Data |Audit Question Transaction Data         |Audit Question Transaction Data                             |
|  0AUD_ROL                     |D      |0AUD                        |0AUD_ROL                     |SAP         |SAP        |20,041,215,121,145 |7.0/02 |20,041,215,121,145 |       |         |         |AuditRole Trans.Data|Audit Role Transaction Data             |Audit Role Transaction Data                                 |
|  0AU_MATNR                    |D      |0IS_AU_LMN                  |0AU_MATNR                    |SAP         |SAP        |20,051,213,161,047 |7.0/03 |20,051,213,161,047 |       |         |         |Material ID         |Material ID                             |Material ID                                                 |
|  0AU_PPC_GI                   |D      |0IS_AU_PPC                  |0AU_PPC_GI                   |SAP         |SAP        |20,010,510,124,449 |3.0/01 |20,010,510,124,449 |       |         |         |Goods Withdrawals Ag|Goods Withdrawals Aggregate             |Goods Withdrawals Aggregate                                 |
|  0AU_PP_CONF                  |D      |0IS_AU_PPC                  |0AU_PP_CONF                  |SAP         |SAP        |20,010,322,183,201 |3.0/01 |20,010,322,183,201 |       |         |         |Header Records      |Header Records (RP Backflush and GR)    |Header Records (Reporting Point Backflush and Goods Receipt)|
|  0AU_PVR_SET_G_VEH_IDS_ATTR   |D      |0AU_PVR                     |0AU_PVR_SET_G_VEH_IDS_ATTR   |SAP         |SAP        |20,030,117,144,226 |3.2/01 |20,030,117,144,226 |       |         |         |General Vehicle IDs |General Vehicle IDs                     |General Vehicle IDs                                         |
|  0AU_PVR_SET_O_VEH_IDS_ATTR   |D      |0AU_PVR                     |0AU_PVR_SET_O_VEH_IDS_ATTR   |SAP         |SAP        |20,030,117,151,508 |3.2/01 |20,030,117,151,508 |       |         |         |Other Vehicle IDs Ex|Other Vehicle IDs Extension             |Other Vehicle IDs Extension                                 |
|  0AU_PVR_SET_TH_PARTY_ATTR    |D      |0AU_PVR                     |0AU_PVR_SET_TH_PARTY_ATTR    |SAP         |SAP        |20,030,117,152,624 |3.2/01 |20,030,117,152,624 |       |         |         |Third Party Extensio|Third Party Extension                   |Third Party Extension                                       |
|  0AU_PVR_SET_VEH_MODEL_ATTR   |D      |0AU_PVR                     |0AU_PVR_SET_VEH_MODEL_ATTR   |SAP         |SAP        |20,030,117,153,255 |3.2/01 |20,030,117,153,255 |       |         |         |Vehicle Model Extens|Vehicle Model Extension                 |Vehicle Model Extension                                     |
|  0AU_PVR_SET_VEH_SPEC_ATTR    |D      |0AU_PVR                     |0AU_PVR_SET_VEH_SPEC_ATTR    |SAP         |SAP        |20,030,117,161,645 |3.2/01 |20,030,117,161,645 |       |         |         |Vehicle Specificatio|Vehicle Specification Extension         |Vehicle Specification Extension                             |
|  0AU_WTY_HEADER               |D      |0IS_AU_WTY                  |0AU_WTY_HEADER               |SAP         |SAP        |20,021,226,123,112 |3.2/01 |20,021,226,123,112 |       |         |         |Warranty claim heade|Warranty claim header                   |Warranty claim header                                       |
|  0AU_WTY_ITEM                 |D      |0IS_AU_WTY                  |0AU_WTY_ITEM                 |SAP         |SAP        |20,030,131,144,234 |3.2/01 |20,030,131,144,234 |       |         |         |Warranty claim item |Warranty claim item                     |Warranty claim item                                         |
|  0AU_WTY_MASTER               |D      |0IS_AU_WTY                  |0AU_WTY_MASTER               |SAP         |SAP        |20,021,128,143,615 |3.2/01 |20,021,128,143,615 |       |         |         |Warranty related cou|Warranty related counters with the limit|Warranty related counters with the limits for this counters |
|  0AU_WTY_MEAS                 |D      |0IS_AU_WTY                  |0AU_WTY_MEAS                 |SAP         |SAP        |20,021,128,114,515 |3.2/01 |20,021,128,114,515 |       |         |         |Measurement document|Measurement documents linked to the vers|Measurement documents linked to the version or item         |
|  0AU_WTY_VERSION              |D      |0IS_AU_WTY                  |0AU_WTY_VERSION              |SAP         |SAP        |20,021,128,164,157 |3.2/01 |20,021,128,164,157 |       |         |         |Warranty claim versi|Warranty claim version                  |Warranty claim version                                      |
|  0BA_AN_1                     |D      |0BA_SEM_RA                  |0BA_AN_1                     |SAP         |SAP        |20,010,615,103,926 |3.0/01 |20,010,615,103,926 |       |         |         |Ratios              |Ratios                                  |Ratios                                                      |
|  0BA_AN_3                     |D      |0BA_SEM_RA                  |0BA_AN_3                     |SAP         |SAP        |20,010,615,113,601 |3.0/01 |20,010,615,113,601 |       |         |         |Amounts             |Amounts                                 |Amounts                                                     |
|  0BA_AN_5                     |D      |0BA_SEM_RA                  |0BA_AN_5                     |SAP         |SAP        |20,010,615,104,241 |3.0/01 |20,010,615,104,241 |       |         |         |Amounts (Risk)      |Amounts (Risk)                          |Amounts (Risk)                                              |
|  0BA_AN_6                     |D      |0BA_SEM_RA                  |0BA_AN_6                     |SAP         |SAP        |20,010,615,104,525 |3.0/01 |20,010,615,104,525 |       |         |         |Amounts (P&L)       |Amounts (P&L)                           |Amounts (P&L)                                               |
|  0BA_BA_DR_1                  |D      |0BA_BA_DR                   |0BA_BA_DR_1                  |SAP         |SAP        |20,061,201,102,229 |7.0/03 |20,061,201,102,229 |       |         |         |Basel II: D&R CPRisk|Basel II: Disclosure & Reporting CP Risk|Basel II: Disclosure & Reporting: Counterparty Risk         |
|  0BA_BA_DR_21                 |D      |0BA_BA_DR                   |0BA_BA_DR_21                 |SAP         |SAP        |20,060,412,195,955 |7.0/03 |20,060,412,195,955 |       |         |         |Basel II: D&R: COREP|Basel II: D&R: COREP Solvency Own Funds |Basel II: D&R: COREP Solvency Own Funds                     |
|  0BA_BA_DR_25                 |D      |0BA_BA_DR                   |0BA_BA_DR_25                 |SAP         |SAP        |20,060,926,193,134 |7.0/03 |20,060,926,193,134 |       |         |         |Basel II: D&R COREP |Basel II: D&R COREP Operational Risk    |Basel II: D&R COREP Operational Risk                        |
|  0BA_BA_DR_26                 |D      |0BA_BA_DR                   |0BA_BA_DR_26                 |SAP         |SAP        |20,060,927,205,442 |7.0/03 |20,060,927,205,442 |       |         |         |Basel II: D&R COREP |Basel II: D&R COREP Market Risk SA      |Basel II: D&R COREP Market Risk SA                          |
|  0BA_BA_DR_27                 |D      |0BA_BA_DR                   |0BA_BA_DR_27                 |SAP         |SAP        |20,060,927,205,249 |7.0/03 |20,060,927,205,249 |       |         |         |Basel II: D&R COREP |Basel II: D&R COREP Market Risk IM      |Basel II: D&R COREP Market Risk IM                          |
|  0BA_BA_DR_3                  |D      |0BA_BA_DR                   |0BA_BA_DR_3                  |SAP         |SAP        |20,050,608,141,549 |7.0/02 |20,050,608,141,549 |       |         |         |BII: D&R Report 10  |Basel II: D&R Report 10                 |Basel II: D&R Report 10                                     |
|  0BA_BA_DR_4                  |D      |0BA_BA_DR                   |0BA_BA_DR_4                  |SAP         |SAP        |20,061,201,101,628 |7.0/03 |20,061,201,101,628 |       |         |         |BII: D&R Comm. RE   |BII: D&R Commercial Real Estate Lending |Basel II: D&R Commercial Real Estate Lending                |
|  0BA_BA_DR_5                  |D      |0BA_BA_DR                   |0BA_BA_DR_5                  |SAP         |SAP        |20,040,628,185,112 |3.5/03 |20,040,628,185,112 |       |         |         |BII: D&R Comm. RE   |BII: D&R Commercial RE (Collateral)     |Basel II: D&R Commercial Real Estate (Collateral)           |
|  0BA_BA_DR_6                  |D      |0BA_BA_DR                   |0BA_BA_DR_6                  |SAP         |SAP        |20,060,518,194,629 |7.0/03 |20,060,518,194,629 |       |         |         |BII: Equity Holdings|Basel II: D&R Equity Holdings           |Basel II: D&R Equity Holdings                               |
|  0BA_BA_DR_7                  |D      |0BA_BA_DR                   |0BA_BA_DR_7                  |SAP         |SAP        |20,061,201,102,606 |7.0/03 |20,061,201,102,606 |       |         |         |BII: D&R Securitiztn|Basel II: D&R Securitizations           |Basel II: D&R Securitizations                               |
|  0BA_BA_DR_8                  |D      |0BA_BA_DR                   |0BA_BA_DR_8                  |SAP         |SAP        |20,040,727,163,515 |3.5/03 |20,040,727,163,515 |       |         |         |BII: D&R Migration  |Basel II: D&R Migration Matrices        |Basel II: D&R Migration Matrices                            |
|  0BA_BA_DR_9                  |D      |0BA_BA_DR                   |0BA_BA_DR_9                  |SAP         |SAP        |20,060,926,094,445 |7.0/03 |20,060,926,094,445 |       |         |         |BII: D&R Oper. Risks|Basel II: D&R Operational Risks         |Basel II: D&R Operational Risks                             |
|  0BA_BA_DR_EXPCLO             |D      |0BA_BA_DR                   |0BA_BA_DR_EXPCLO             |SAP         |SAP        |20,060,420,193,118 |7.0/03 |20,060,420,193,118 |       |         |         |Basel II:D&R 0BA_1EX|Basel II:D&R 0BA_1EXPCLO                |Basel II:D&R 0BA_1EXPCLO                                    |
|  0BA_BA_DR_OWN_LGDS           |D      |0BA_BA_DR                   |0BA_BA_DR_OWN_LGDS           |SAP         |SAP        |20,060,518,141,506 |7.0/03 |20,060,518,141,506 |       |         |         |Basel II:D&R COREP O|Basel II:D&R COREP Own LGDs             |Basel II:D&R COREP Own LGDs                                 |
|  0BA_BA_DR_POSNO              |D      |0BA_BA_DR                   |0BA_BA_DR_POSNO              |SAP         |SAP        |20,060,412,190,117 |7.0/03 |20,060,412,190,117 |       |         |         |Basel II: D&R InfoSo|Basel II: D&R InfoSource 0BA_1POSNO     |Basel II: D&R InfoSource 0BA_1POSNO                         |
|  0BA_BA_DR_R                  |D      |0BA_BA_DR                   |0BA_BA_DR_R                  |SAP         |SAP        |20,050,608,092,922 |7.0/02 |20,050,608,092,922 |       |         |         |BII: D&R Risk Class |Basel II: D&R Risk Class                |Basel II: D&R Risk Class                                    |
|  0BA_BA_FDB_CML_1             |D      |0BA_BA_FDB                  |0BA_BA_FDB_CML_1             |SAP         |SAP        |20,040,921,120,840 |3.5/03 |20,040,921,120,840 |       |         |         |CML Loan Master Data|CML Loan Master Data                    |CML Loan Master Data                                        |
|  0BA_BA_FDB_CML_2             |D      |0BA_BA_FDB                  |0BA_BA_FDB_CML_2             |SAP         |SAP        |20,040,916,132,400 |3.5/03 |20,040,916,132,400 |       |         |         |CML Cash Flow       |CML Cash Flow                           |CML Cash Flow                                               |
|  0BA_BA_IAS_001               |D      |0BA_BA_IAS                  |0BA_BA_IAS_001               |SAP         |SAP        |20,050,627,075,436 |7.0/02 |20,050,627,075,436 |       |         |         |IAS Reporting       |IAS Reporting                           |IAS Reporting                                               |
|  0BA_CMS_CAGMT_BUPA_LINK      |D      |0BA_CMS                     |0BA_CMS_CAGMT_BUPA_LINK      |SAP         |SAP        |20,060,812,112,237 |7.0/03 |20,060,812,112,237 |       |         |         |Collateral Agreement|Collateral Agreement Business Partner Li|Collateral Agreement Business Partner Link                  |
|  0BA_CMS_CAGMT_HEADER_PORTIONS|D      |0BA_CMS                     |0BA_CMS_CAGMT_HEADER_PORTIONS|SAP         |SAP        |20,060,304,081,807 |7.0/03 |20,060,304,081,807 |       |         |         |Collateral Agreement|Collateral Agreement                    |Collateral Agreement                                        |
|  0BA_CMS_CAG_RBL_LINK         |D      |0BA_CMS                     |0BA_CMS_CAG_RBL_LINK         |SAP         |SAP        |20,041,116,123,341 |7.0/02 |20,041,116,123,341 |       |         |         |CMS: Collateral Agre|CMS: Collateral Agreement Receivable Lin|CMS: Collateral Agreement Receivable Link                   |
|  0BA_CMS_CHARGES              |D      |0BA_CMS                     |0BA_CMS_CHARGES              |SAP         |SAP        |20,040,721,061,255 |3.5/03 |20,040,721,061,255 |       |         |         |CMS: Charges        |CMS: Charges                            |CMS: Charges                                                |
|  0BA_CMS_LIQUIDATION_MEASURE  |D      |0BA_CMS                     |0BA_CMS_LIQUIDATION_MEASURE  |SAP         |SAP        |20,060,804,164,958 |7.0/03 |20,060,804,164,958 |       |         |         |CMS: Liquidation Mea|CMS: Liquidation Measure                |CMS: Liquidation Measure                                    |
|  0BA_CMS_MOVABLES             |D      |0BA_CMS                     |0BA_CMS_MOVABLES             |SAP         |SAP        |20,060,304,084,105 |7.0/03 |20,060,304,084,105 |       |         |         |Collateral Object: M|Collateral Object: Movables             |Collateral Object: Movables                                 |
|  0BA_CMS_MOVABLES_BUPA_LINK   |D      |0BA_CMS                     |0BA_CMS_MOVABLES_BUPA_LINK   |SAP         |SAP        |20,060,812,113,008 |7.0/03 |20,060,812,113,008 |       |         |         |Collateral Object: M|Collateral Object: Movables Business Par|Collateral Object: Movables Business Partner Link           |
|  0BA_CMS_REAL_ESTATE_HEADER   |D      |0BA_CMS                     |0BA_CMS_REAL_ESTATE_HEADER   |SAP         |SAP        |20,060,211,111,835 |7.0/03 |20,060,211,111,835 |       |         |         |Collateral Object: R|Collateral Object: Real Estate          |Collateral Object: Real Estate                              |
|  0BA_CMS_RECEIVABLES          |D      |0BA_CMS                     |0BA_CMS_RECEIVABLES          |SAP         |SAP        |20,060,805,132,249 |7.0/03 |20,060,805,132,249 |       |         |         |CMS: Receivables    |CMS: Receivables                        |CMS: Receivables                                            |
|  0BA_CMS_RELATIONSHIPS        |D      |0BA_CMS                     |0BA_CMS_RELATIONSHIPS        |SAP         |SAP        |20,060,127,154,254 |7.0/03 |20,060,127,154,254 |       |         |         |CMS: CAG CAG Relatio|CMS: CAG CAG Relationships              |CMS: CAG CAG Relationships                                  |
|  0BA_CMS_RE_BUPA              |D      |0BA_CMS                     |0BA_CMS_RE_BUPA              |SAP         |SAP        |20,060,812,113,936 |7.0/03 |20,060,812,113,936 |       |         |         |Collateral Object: R|Collateral Object: Real Estate Object Bu|Collateral Object: Real Estate Object Business Partner Link |
|  0BA_CMS_RIGHTS               |D      |0BA_CMS                     |0BA_CMS_RIGHTS               |SAP         |SAP        |20,060,304,091,337 |7.0/03 |20,060,304,091,337 |       |         |         |Collateral Object: R|Collateral Object: Rights               |Collateral Object: Rights                                   |
|  0BA_CMS_RIGHTS_BUPA_LINK     |D      |0BA_CMS                     |0BA_CMS_RIGHTS_BUPA_LINK     |SAP         |SAP        |20,060,812,114,621 |7.0/03 |20,060,812,114,621 |       |         |         |Collateral Object: R|Collateral Object: Rights Business Partn|Collateral Object: Rights Business Partner Link             |
|  0BA_CMS_SEC_ACC              |D      |0BA_CMS                     |0BA_CMS_SEC_ACC              |SAP         |SAP        |20,040,902,111,753 |3.5/03 |20,040,902,111,753 |       |         |         |Collateral Object: S|Collateral Object: Securities           |Collateral Object: Securities                               |
|  0BA_CMS_SEC_ACC_BUPA_LINK    |D      |0BA_CMS                     |0BA_CMS_SEC_ACC_BUPA_LINK    |SAP         |SAP        |20,060,812,114,753 |7.0/03 |20,060,812,114,753 |       |         |         |Collateral Object: S|Collateral Object: Securities Business P|Collateral Object: Securities Business Partner Link         |
|  0BBP_BIDDER_ATTR             |D      |0CA_BP-IO                   |0BBP_BIDDER_ATTR             |SAP         |SAP        |20,030,131,122,336 |3.2/01 |20,030,131,122,336 |       |         |         |BP: EBP Bidder Data |BP: EBP Bidder Data                     |BP: EBP Bidder Data                                         |
|  0BBP_BIDDER_TD               |D      |0BBP_BID                    |0BBP_BIDDER_TD               |SAP         |SAP        |20,030,709,074,733 |3.3/01 |20,030,709,074,733 |       |         |         |Invited Bidders     |Invited Bidders                         |Invited Bidders                                             |
|  0BBP_BID_TD_1                |D      |0BBP_BID                    |0BBP_BID_TD_1                |SAP         |SAP        |20,030,131,164,007 |3.2/01 |20,030,131,164,007 |       |         |         |Bid Invitations-Sngl|Bid Invitations - Single Documents      |Bid Invitations - Single Documents                          |
