19.04.2015                                                                                                                                  Dynamic List Display                                                                                                                                         1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  UPDID                    |OBJVERS|INFOCUBE     |ISOURCE                      |URPROGID                 |WIPROGID                 |       TIMESTMPCUBE|TSTPNM  |           TIMESTMP|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|EXPERTMODE|STARTROUTINE|ODSPROGID                |TNAME|
|  02YFIGQZY252GGZYI1B3QCRG2|D      |0GN_CAT_SAL  |80CI_KMCA1                   |0535NSPLBFVQLN6IPP0MKOELU|                         |20,021,205,102,351 |SAP     |20,030,317,124,354 |INA    |3.2/01 |20,030,317,124,354 |SAP     |      |       |          |        9998|                         |     |
|  033D2TS41185PMVN2V58Y2F82|D      |0FIGL_C01    |80FIGL_O06                   |07CTDHPARSPHZZ8RI6KAMPPJM|09HJITNW56G655FBPU9TH1CPE|20,041,006,120,923 |SAP     |20,041,109,143,258 |INA    |7.0/02 |20,041,109,143,258 |SAP     |      |       |          |            |                         |     |
|  035XDP2J1KBRIVZB6KW261QSY|D      |0PM_DS01     |2LIS_17_NOTIF                |07FDOCZPSBT3T8CFLWB3UP14I|                         |20,030,219,092,256 |SAP     |20,030,219,092,525 |INA    |3.2/01 |20,030,219,092,525 |SAP     |      |       |          |        9998|09K3TOYB5PJRYEIZTK0MP0OAA|     |
|  037M1338ITKW43UPUUOI4Y36Y|D      |0UCCM_C02    |80UCCMDS09                   |07H2BR0F9L28EG7UA63JTLDII|09LSH2Z0MYSWJMEEHTT2NX0OA|20,050,929,135,623 |SAP     |20,050,928,103,702 |INA    |7.0/03 |20,050,928,103,702 |SAP     |      |       |          |        9998|                         |     |
|  03GN3YOH1A1JN8DURGDCDDIGF|D      |0EHS_IAOB$T  |0EHS_PHRASES                 |07Q3EMLNS1IVXKQZ6RSE20SRZ|                         |20,030,603,155,755 |SAP     |20,030,606,082,754 |INA    |3.3/01 |20,030,606,082,754 |SAP     |      |       |          |            |                         |     |
|  03GUIZX58VKSQZ9ELW927GWR3|D      |0GLS_INV     |0SRM_GLSPEND_INVOICE         |07QATNUBZN251BMJ17O3W472N|                         |20,021,015,081,458 |SAP     |20,021,028,141,314 |INA    |3.1/01 |20,021,028,141,314 |SAP     |      |       |          |        9998|09V0YZSXD0ST6HT38VDMQFU8F|     |
|  03MYKSC7Y3AVJL78HDLH73ED5|D      |0PU_O42      |0PU_FM_42                    |07WEVG9EOUS7TXKCWP0IVQOOP|                         |20,080,429,223,622 |SAP     |20,080,429,233,552 |INA    |7.0/04 |20,080,429,233,552 |SAP     |      |       |          |            |0A150S8028IVZ3QX4CQ1Q2BUH|     |
|  03WABK8HS1H8GODZG0L0FYHEB|D      |0CML_C02     |80CML_O03                    |085QM85OISYKR0R3VC024LRPV|0AAGRK49W6P8W6XO2ZPKYXEVN|20,030,723,112,912 |SAP     |20,030,723,113,654 |INA    |3.3/01 |20,030,723,113,654 |SAP     |      |       |          |            |                         |     |
|  041PDMOUU5WJKPH9ALZSQSWFL|D      |0RPM_DS15    |80RPM_DS11                   |066FIYNG7JN7PVNTI9PBL4JLD|                         |20,061,006,232,857 |SAP     |20,061,007,000,047 |INA    |7.0/03 |20,061,007,000,047 |SAP     |      |       |          |            |08B5OAM1KXDVV1UDPXEUFG6R5|     |
|  048H7466AFDCFYHSC2EHKN3DB|D      |0ME_PLMTITL  |0ME_PLM_CALCHAR_ECP          |08HXHS3D16UOQAUWRDTJ9ADOV|                         |20,050,808,102,253 |SAP     |20,051,223,095,307 |INA    |7.0/03 |20,051,223,095,307 |SAP     |      |       |          |            |                         |     |
|  04A6ZGTYRIWS4GM4E5L4VEZ7Z|D      |0MEPLMO01    |0ME_PLM_BP_ASIGN             |08JNA4R5IAE4ESZ8TH06K29JJ|                         |20,020,225,173,527 |SAP     |20,020,226,073,112 |INA    |3.0/02 |20,020,226,073,112 |SAP     |      |       |          |            |0AODFGPQVO4SJZ5T14PPEDWPB|     |
|  04CQBGCQS62O9JVCH64FL6MLX|D      |0RPM_MROLE$T |0EDS_0RPM_GLOBALROLE_TEXT    |08M6M49XIXK0JW8GWHJH9TWXH|                         |20,030,415,122,019 |SAP     |20,030,620,005,408 |INA    |3.3/01 |20,030,620,005,408 |SAP     |      |       |          |            |                         |     |
|  04F9THIEN79SIMRXQUHB2LNTR|D      |0PH_OTLT     |0IMSU_E_7                    |08OQ45FLDYR4SZ5265WCR8Y5B|                         |20,020,214,171,436 |SAP     |20,020,216,120,454 |INA    |3.0/02 |20,020,216,120,454 |SAP     |      |       |          |            |                         |     |
|  04JOCEBXDVJBQ83S5R51IVHC7|D      |0PP_C08      |2LIS_04_PECOMP               |5KIHG5ZHSVWXOLR3ON6WIAIRR|5MN7LHY369NLTRXNWAWFCM5XJ|20,000,321,190,349 |SAP     |20,000,321,190,709 |INA    |2.0/02 |20,000,321,190,707 |SAP     |      |       |          |            |                         |     |
|  04KME131HITB40LD5GOCG74NW|D      |0BA_O06      |80TB_DS05                    |08U2OP088AANECYHKS3E4UEZG|                         |20,040,916,104,733 |SAP     |20,040,916,160,636 |INA    |3.5/03 |20,040,916,160,636 |SAP     |      |       |          |            |0AYSU0YTLO1BJJ51SFSWZ6258|     |
|  05DOQC2O8YKK804QQHWJODQM4|A      |0PS_DS06     |0CO_OM_NAE_2                 |09N50ZZUZQ1WICHV5TBLD10XO|                         |20,051,017,152,916 |SAP     |20,030,205,091,005 |ACT    |3.2/01 |20,030,205,091,005 |SAP     |      |X      |          |            |0BRV6BYGD3SKNIOFDH147CO3G|     |
|  05DOQC2O8YKK804QQHWJODQM4|D      |0PS_DS06     |0CO_OM_NAE_2                 |09N50ZZUZQ1WICHV5TBLD10XO|                         |20,030,205,090,937 |SAP     |20,030,205,091,005 |INA    |3.2/01 |20,030,205,091,005 |SAP     |      |       |          |            |0BRV6BYGD3SKNIOFDH147CO3G|     |
|  05DOQC2O8YKK804QQHWJODQM4|M      |0PS_DS06     |0CO_OM_NAE_2                 |09N50ZZUZQ1WICHV5TBLD10XO|                         |20,051,017,152,916 |SAP     |20,030,205,091,005 |ACT    |3.2/01 |20,030,205,091,005 |SAP     |      |X      |          |            |0BRV6BYGD3SKNIOFDH147CO3G|     |
|  05UDESN9FX3QKO5PGGBWHG1AQ|D      |0TB_DS01     |80TB_DS04                    |0A3TPGKG6OL2V0ITVRQY63BMA|                         |20,030,130,092,048 |SAP     |20,030,130,092,738 |INA    |3.2/01 |20,030,130,092,738 |SAP     |      |       |          |            |0C8JUSJ1K2BR06PE3FGH0EYS2|     |
|  05ZCNUPM15ZK5X4L8WUGRLD4B|D      |0HC_DS32     |0HC_MOVEMENTS                |0A8SYIMSRXGWG9HPO89IG8NFV|                         |20,040,205,201,510 |SAP     |20,040,205,201,649 |INA    |3.5/02 |20,040,205,201,649 |SAP     |      |       |          |            |0CDJ3ULE5B7KLFO9VVZ1AKALN|     |
|  069NAXNL6G5A7DD2T0CVQWTI3|D      |0DF_DS02     |0DF_IS_DFS_11                |4C0OO4FYHTET2BNHJ2SUUYS47|                         |20,080,407,144,650 |SAP     |20,100,129,160,544 |INA    |7.0/04 |20,100,129,160,544 |SAP     |      |       |          |        9998|4C0OO4NN0S0IKY6XOWV750QTZ|     |
|  06SYK6TOYMIZC1ZZRTJF4C9ED|D      |0LOM_C05     |80LOM_DS01                   |08XOPISAC09NH86JZH8XYNWK5|0B2EUUQVPE0BMED474YGSZJPX|20,021,025,121,507 |SAP     |20,021,025,122,046 |INA    |3.1/01 |20,021,025,122,046 |SAP     |      |       |          |            |                         |     |
|  0758LK3M789FETKWAZ7EELJCX|D      |0MEMAMC15    |80MEMAMO08                   |0BEOW80SXZQRP5Y0QAMG38TOH|0DJF1JZEBDHFUC4KXYBYXKGU9|20,050,615,092,042 |SAP     |20,050,615,092,703 |INA    |7.0/02 |20,050,615,092,703 |SAP     |      |       |          |            |                         |     |
|  07EWHBZPM1ESQ86OD84DCBHGX|D      |0IEP_DS06    |80IEP_DS08                   |09JMMNYAZF5GVED8KVTW6N4MP|                         |20,051,130,191,407 |SAP     |20,051,130,191,728 |INA    |7.0/03 |20,051,130,191,728 |SAP     |      |       |          |            |0BOCRZWWCSW50KJSSJJF0YRSH|     |
|  07HKHOT7Q95N64JKNGVI39QLB|D      |0PH_PRESCRI  |0IMSU_E_5                    |0BR0SCQEH0MZGGWP2SAJRX0WV|                         |20,020,218,183,342 |SAP     |20,020,218,184,410 |INA    |3.0/02 |20,020,218,184,410 |SAP     |      |       |          |            |                         |     |
|  07JOQGY83OVBT9VJPVPZLFX4P|D      |0PP_O01      |2LIS_04_P_ARBPL              |0BT514VEUGCO3M8O5751A37G9|                         |20,020,313,103,043 |SAP     |20,020,313,114,824 |INA    |3.0/02 |20,020,313,114,824 |SAP     |      |       |          |            |0DXV6GU07U3C8SF8CUUK4EUM1|     |
|  07SH9CUNM04U6Y2FYUXKJFES3|D      |0REOBJECT$T  |0RECONTRACT_TEXT             |0C1XK0RUCRM6HAFKE6CM82P3N|                         |20,030,528,095,914 |SAP     |20,030,528,141,624 |INA    |3.3/01 |20,030,528,141,624 |SAP     |      |       |          |            |                         |     |
|  08DE1RF2JXIEXXVNJXXWM3Q5T|D      |0IEP_C03     |80IEP_C01                    |0AI473DNXB933427RLNFGFDBL|0CMUCFC9AOZR8A8RZ9CYAR0HD|20,051,212,123,028 |SAP     |20,051,212,125,338 |INA    |7.0/03 |20,051,212,125,338 |SAP     |      |       |          |            |                         |     |
|  08KSMM9CHVTFA3KZKW0TRNICV|D      |0HC_DS30     |0HC_SERVICES                 |0CU8XA6J8NARKFY407FVGASOF|                         |20,040,129,135,846 |SAP     |20,040,129,135,920 |INA    |3.5/02 |20,040,129,135,920 |SAP     |      |       |          |            |0EYZ2M54M11FPM4O7V5EAMFU7|     |
|  08PHUK2QDDQPFGSNUWNR238RJ|D      |0CRM_BUAG    |0FC_ACCNTBP_ATTR_TEXT        |0CYY57ZX4581PT5SA82SQQJ33|                         |20,040,720,165,027 |SAP     |20,040,720,165,314 |INA    |3.5/03 |20,040,720,165,314 |SAP     |      |       |          |            |                         |     |
|  08RMH0RE8V5MWKDZAU95U31O1|D      |0SM_SOBJN$T  |0SM_DSWPBI_BPM               |0D12ROOKZMMZ6WR3Q5O7IQBZL|                         |20,070,226,150,134 |SAP     |20,070,507,151,420 |INA    |7.0/03 |20,061,006,083,151 |SAP     |      |       |          |            |                         |     |
|  08YDEOLMNLWEWV2L1XVBPIQVR|D      |0TB_DS15     |80TB_DS31                    |0D7TPCITEDDR77FPH9ADE617B|                         |20,080,408,132,847 |SAP     |20,090,729,105,141 |INA    |7.0/04 |20,090,729,105,141 |SAP     |      |       |          |        9998|0FCJUOHERR4FCDM9OWZW8HOD3|     |
|  08YM37LOXCTA4NO61PX4TO3UH|D      |0UCBU_PART   |0UCBU_PART2                  |0FCSJ7HH1I1AK67UOP1PCN1BT|                         |20,020,227,113,144 |SAP     |20,020,301,113,715 |INA    |3.0/02 |20,020,301,113,715 |SAP     |      |       |          |            |                         |     |
|  099T7YRJIAGZE398NFXQSZ4SZ|D      |0SEMRA_C3    |0BA_AN_3                     |EH3IHLEXYVCT0TRPH39F7VOH0|4ZXVCK76BS2AF1DQ11X8LXCM3|20,030,121,111,923 |SAP     |20,030,310,104,301 |INA    |3.2/01 |20,030,310,104,301 |SAP     |      |       |          |            |                         |     |
|  09GBXYH5ZYLRZ8J8EFD2CNR4V|D      |0PSGUID      |0WBS_ELEMT_ATTR              |0DPS8MECQQ349KWCTQS41B1GF|                         |20,041,203,133,034 |SAP     |20,041,203,135,150 |INA    |3.5/03 |20,041,203,135,150 |SAP     |      |       |          |            |                         |     |
|  09P35S3YTOXG1UL297VS5RGDN|D      |0FIGL_C10    |80FIGL_O10                   |0DYJGG15KGESC6Y6OJATUEQP7|0G39LRZQXU5GHD4QW70COQDUZ|20,040,401,102,501 |SAP     |20,040,406,112,242 |INA    |3.5/02 |20,040,406,112,242 |SAP     |      |       |          |            |                         |     |
|  09S1MGUE5BSF8Q8I4SYAI3GKQ|D      |0HC_C26      |0HC_CO_TRANS                 |0E1HX4RKW39RJ2LMK4DC6QQWA|0G682GQ69H0FO8S6RS2V12E22|20,040,913,093,509 |SAP     |20,040,913,093,614 |INA    |3.5/03 |20,040,913,093,614 |SAP     |      |       |          |        9998|                         |     |
|  09XK3EGPLBU56HLJGSPEXFGRZ|D      |0GM_C03      |80GM_O03                     |0E70E2DWC3BHGTYNW44GM2R3J|0GBQJECHPH25M0583RTZGEE9B|20,030,704,174,239 |SAP     |20,030,704,174,831 |INA    |3.3/01 |20,030,704,174,831 |SAP     |      |       |          |            |                         |     |
|  0A7M9GSCGWM4US0TLPMJAJWAX|D      |0BBP_INV     |0BBP_INV_TD_1                |0EH2K4PJ7O3H54DY111KZ76MH|                         |20,040,401,165,802 |SAP     |20,040,721,144,800 |INA    |3.5/03 |20,040,721,144,800 |SAP     |      |       |          |            |0GLSPGO4L1U5AAKI8OR3TITS9|     |
|  0ANG7UHJ7B1U4Y63CAZGCJEBL|A      |0CRM_SRVGUI  |0CRM_SERVICE_IBASE_TRANS     |0EWWIIEPY2J6FAJ7RMEI16ON5|                         |20,110,131,191,355 |SAP     |20,020,828,145,410 |ACT    |3.1/01 |20,020,828,145,410 |SAP     |      |X      |          |            |                         |     |
|  0ANG7UHJ7B1U4Y63CAZGCJEBL|D      |0CRM_SRVGUI  |0CRM_SERVICE_IBASE_TRANS     |0EWWIIEPY2J6FAJ7RMEI16ON5|                         |20,020,828,144,809 |SAP     |20,020,828,145,410 |INA    |3.1/01 |20,020,828,145,410 |SAP     |      |       |          |            |                         |     |
|  0ANG7UHJ7B1U4Y63CAZGCJEBL|M      |0CRM_SRVGUI  |0CRM_SERVICE_IBASE_TRANS     |0EWWIIEPY2J6FAJ7RMEI16ON5|                         |20,110,131,191,355 |SAP     |20,020,828,145,410 |ACT    |3.1/01 |20,020,828,145,410 |SAP     |      |X      |          |            |                         |     |
|  0AU4YYYA9S479513TNFFHD9QF|D      |0PP_C02      |2LIS_04_P_MATNR              |0F3L9MVH0JLJJHE88YUH60K1Z|0H8BEYU2DXC7ONKSGMK00C77R|20,070,221,004,430 |SAP     |20,070,221,191,245 |INA    |7.0/03 |20,060,525,131,853 |SAP     |      |       |          |        9998|                         |     |
|  0C3952B3CLL9ES0E6UKRX253V|D      |0MIC_DS05    |0MIC_CASE_RMPLAN_1           |0GCPFQ8A3D2LP4DIM5ZTLPFFF|                         |20,040,915,160,706 |SAP     |20,040,915,160,735 |INA    |3.5/03 |20,040,915,160,735 |SAP     |      |       |          |            |0IHFL26VGQT9UAK2TTPCG12L7|     |
|  0C7RR6Q4RPHN5FPV2Q9A5FZJ4|D      |0CP_SLSC2    |0ACN_FACT_DATA               |0GH81UNBIGYZFS2ZI1OBU39UO|0ILY76LWVUPNKY9JPPDUOEX0G|20,000,919,180,404 |SAP     |20,010,629,144,714 |INA    |3.0/01 |20,010,629,144,708 |SAP     |      |       |          |        9998|                         |     |
|  0C9A2JROT9NM7HCUFIZA2I6C5|D      |0LOM_C01     |80LOM_DS05                   |0EE07VQA6NEACNJEN6OSWTTHX|0GIQD7OVK14YHTPYUUEBR5GNP|20,021,025,113,356 |SAP     |20,021,025,115,020 |INA    |3.1/01 |20,021,025,115,020 |SAP     |      |       |          |            |                         |     |
|  0CDEJZVACGGZ9WCNZV5WWC4T8|D      |0UCW_DS02    |0UC_WDO_ITM                  |0GMUUNSH37YBK8PSF6KYKZF4S|                         |20,070,328,124,708 |SAP     |20,070,329,224,927 |INA    |7.0/03 |20,070,323,142,416 |SAP     |      |       |          |            |0IRKZZR2GLOZPEWCMUAHFB2AK|     |
|  0CMJUW5O77LC41LJ09XHQHLEN|D      |0PP_C02      |2LIS_04_S280                 |0GW05K2UXZ2OEDYNFLCJF4VQ7|0J0QAW1GBCTCJK57N9229GIVZ|20,070,221,004,430 |SAP     |20,070,221,191,245 |INA    |7.0/03 |20,060,526,030,959 |SAP     |      |       |          |            |                         |     |
|  0CWN13HTCGPU1SURBFHBWFVWH|D      |0SR_BIDC1    |80BBP_QUO                    |0H63BRF03876C57VQQWDL3681|0JATH3DLGLXUHBEFYELWFETDT|20,040,105,095,533 |SAP     |20,040,105,095,808 |INA    |3.5/02 |20,040,105,095,808 |SAP     |      |       |          |        9998|                         |     |
|  0D1T9Q4FDP6PNNFE1330X11MV|D      |0OI_TDC06    |0OI_TD_OIGRMH                |0HB9KE1M4GO1XZSIGEI2LOBYF|0JFZPQ07HUEQ35Z2O27LFZZ47|19,990,722,111,454 |SAP     |20,000,417,121,734 |INA    |2.0/02 |20,000,417,121,732 |SAP     |      |       |          |            |                         |     |
|  0D9EV9UNNYWWQMMH8EFQI0496|D      |0RT_C01      |2LIS_13_VDITM                |0FE50LT91CNKVST1G259CBREY|0HIV5XRUEQE90YZLNPUS6NEKQ|20,040,402,044,536 |SAP     |20,000,907,075,135 |INA    |2.0/02 |20,000,510,111,156 |SAP     |      |       |          |            |                         |     |
|  0DGOI4TZGL19UOV3LSQ5GELME|D      |0AUVEHICLE   |0AU_PVR_SET_G_VEH_IDS_ATTR   |0HQ4SSR67CIM5188145751VXY|                         |20,030,124,133,641 |SAP     |20,030,124,213,748 |INA    |3.2/01 |20,030,124,213,748 |SAP     |      |       |          |        9998|                         |     |
|  0DP65J52W46LXL0F3E1CHY76N|D      |0RT_C73      |2LIS_45_LST                  |0HYMG729MVNY7XDJIPGE6LHI7|0K3CLJ0V09EMD3K3QD5X0X4NZ|20,020,301,082,718 |SAP     |20,030,219,173,918 |INA    |3.2/01 |20,030,219,173,918 |SAP     |      |       |          |            |                         |     |
|  0DUZYMQDBKE6ZRIUL3CLXX4AD|D      |0UCC_DS01    |0UCCONTRACT2                 |0I4G9ANK2BVJA3VZ0ERNMKELX|                         |20,030,616,094,941 |SAP     |20,030,616,095,304 |INA    |3.3/01 |20,030,616,095,304 |SAP     |      |       |          |            |0K96EMM5FPM7FA2J82H6GW1RP|     |
|  0DW7U4VBJ4362RKRPUGOEJ5IH|D      |0UCC_DS04    |80UCC_DS03                   |0I5O4SSI9VKID3XW55VQ36FU1|                         |20,040,715,142,217 |SAP     |20,040,902,142,620 |INA    |3.5/03 |20,040,902,142,620 |SAP     |      |       |          |            |0KAEA4R3N9B6IA4GCTL8XI2ZT|     |
|  0E42Q7CIPCMROO2GO33YC5NUK|D      |0CML_C01     |80CML_O02                    |0IDJ0V9PG443Z0FL3EJ00SY64|0KI9678ATHUS46M5B28IV4LBW|20,030,330,201,656 |SAP     |20,030,723,113,353 |INA    |3.3/01 |20,030,723,113,353 |SAP     |      |       |          |        9998|                         |     |
|  0E9NXRDRQKZ8I2GLB27NJNF6B|D      |0CDS_DS01    |0APO_PPDS_CDS_1              |0IJ48FAYHCGKSETPQDMP8APHV|                         |20,030,612,103,654 |SAP     |20,030,630,112,615 |INA    |3.3/01 |20,030,630,112,615 |SAP     |      |       |          |            |0KNUDR9JUQ78XL09Y1C82MCNN|     |
|  0EBPTKW35SHEDLTK8EYLTL2G9|D      |0UCCMDS11    |0UC_CM_NCL_MR01              |0IL648T9WJYQNY6ONQDNI8CRT|                         |20,040,309,130,603 |SAP     |20,040,309,130,635 |INA    |3.5/02 |20,040,309,130,635 |SAP     |      |       |          |        9998|0KPW9KRV9XPET4D8VE36CJZXL|     |
|  0EMG84VLA7FQGH6IGNXDO4BWA|D      |0SPL_DS22    |0SPL_INB_CRITICAL_1          |0IVWISSS0YX2QTJMVZCFCRM7U|                         |20,040,830,172,041 |SAP     |20,040,830,172,128 |INA    |3.5/03 |20,040,830,172,128 |SAP     |      |       |          |            |0L0MO4RDECNQVZQ73N1Y739DM|     |
|  0ESRHCV4JKAR9MST5INMDV0EN|D      |0PROD_CATEG  |0PROD_CATEG_ATTR             |0J27S0SBABS3JZ5XKU2O2IAQ7|                         |20,021,213,120,659 |SAP     |20,021,213,123,434 |INA    |3.2/01 |20,021,213,123,434 |SAP     |      |       |          |            |                         |     |
|  0EW2L9G63GCIXVFH1FNR2DFH4|D      |0UCDEDS12    |0UC_INVTRANSF01              |0J5IVXDCU7TV87SLGR2SR0PSO|                         |20,050,607,083,852 |SAP     |20,050,607,122,755 |INA    |7.0/02 |20,050,607,122,755 |SAP     |      |       |          |            |0LA919BY7LKJDDZ5OESBLCCYG|     |
|  0F7L6U54ADIVFA5F17VV9ICU1|D      |0BBP_DOC     |0BBP_DOC_ITM_1               |0JH1HI2B1507PMIJGJAWY5N5L|                         |20,020,305,161,523 |SAP     |20,021,028,141,853 |INA    |3.1/01 |20,021,028,141,853 |SAP     |      |       |          |            |0LLRMU0WEIQVUSP3O70FSHABD|     |
|  0F8BVAYOMHTDJJVEM66K0Q5YJ|D      |0CPH_DAY     |80CPH_PODS                   |0JHS5YVVD9APTW8J1HLLPDGA3|0LMIBAUGQN1DZ2F395B4JP3FV|20,050,819,144,101 |SAP     |20,060,223,142,217 |INA    |7.0/03 |20,060,223,142,217 |SAP     |      |       |          |        9998|                         |     |
|  0FFQWWTK5RXR6223S5OTLDPV5|D      |0BADRDS28    |80BADRDS07                   |0HKH28S5J5OFB88NZTECFPD0X|                         |20,061,130,162,527 |SAP     |20,061,201,105,421 |INA    |7.0/03 |20,061,201,105,421 |SAP     |      |       |          |        9998|0JP77KQQWJF3GEF87H3VA106P|     |
|  0FG1ZXVTGNTXOO93R2NYRUCGN|D      |0SRPO_D1     |2LIS_02_ITM                  |0JPIALT07FB9Z0M86E30GHMS7|                         |20,050,621,153,349 |SAP     |20,050,621,153,752 |INA    |7.0/02 |20,050,621,153,752 |SAP     |      |       |          |        9998|0LU8FXRLKT1Y46SSE1SJAT9XZ|     |
|  0FUXZBUPEVQ0JQ9KECN3CELF6|D      |0CRM_IBCO    |0CRM_SERVICE_IBASE_ATTR      |0K4E9ZRW5N7CU2MOTO2511VQQ|                         |20,030,724,062,645 |SAP     |20,030,724,062,705 |INA    |3.3/01 |20,030,724,062,705 |SAP     |      |       |          |            |0M94FBQHJ0Y0Z8T91BRNVDIWI|     |
