21.04.2015                                     Dynamic List Display                                             1
-----------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------
|  LANGU|INFOCUBE     |OBJVERS|TXTSH               |TXTLG                                                       |
|  E    |/CPMB/SKIU7AZ|M      |RATE                |RATE                                                        |
|  E    |/CPMB/SKIV1IB|A      |FinDIP2             |FinDIP2                                                     |
|  E    |/CPMB/SKIV1IB|M      |FinDIP2             |FinDIP2                                                     |
|  E    |/CPMB/SKMG5GP|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SKMG5GP|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SKMIUQQ|A      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/SKMIUQQ|M      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/SKMK7SP|A      |Ownership           |Ownership                                                   |
|  E    |/CPMB/SKMK7SP|M      |Ownership           |Ownership                                                   |
|  E    |/CPMB/SKMMTTL|A      |FinDIP              |FinDIP                                                      |
|  E    |/CPMB/SKMMTTL|M      |FinDIP              |FinDIP                                                      |
|  E    |/CPMB/SKMRCSR|A      |FinFresh            |FinFresh                                                    |
|  E    |/CPMB/SKMRCSR|M      |FinFresh            |FinFresh                                                    |
|  E    |/CPMB/SKMU7AZ|A      |RATE                |RATE                                                        |
|  E    |/CPMB/SKMU7AZ|M      |RATE                |RATE                                                        |
|  E    |/CPMB/SKMV1IB|A      |FinDIP2             |FinDIP2                                                     |
|  E    |/CPMB/SKMV1IB|M      |FinDIP2             |FinDIP2                                                     |
|  E    |/CPMB/SZIBVQE|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SZIBVQE|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SZIRXDS|A      |RATE                |RATE                                                        |
|  E    |/CPMB/SZIRXDS|M      |RATE                |RATE                                                        |
|  E    |/CPMB/SZMBVQE|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SZMBVQE|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SZMRXDS|A      |RATE                |RATE                                                        |
|  E    |/CPMB/SZMRXDS|M      |RATE                |RATE                                                        |
|  E    |0ABC_C01     |D      |Acty-Based Costing  |Activity-Based Costing (Costs and Quantities)               |
|  E    |0ABC_C01     |M      |Acty-based costing  |Activity-based costing (costs and quantities)               |
|  E    |0ABC_C02     |D      |CO-OM-ABC: Stat. KF |CO-OM-ABC: Statistical Key Figures                          |
|  E    |0ABC_C03     |D      |CO-OM-ABC: Prim.Cost|CO-OM-ABC: Prim. Cost Comp.Split (old version - do not use!)|
|  E    |0ABC_C04     |D      |CO-OM-ABC: Variances|CO-OM-ABC: Variances (old version - do not use!)            |
|  E    |0ABC_C05     |D      |CO-OM-ABC:Proc Qties|CO-OM-ABC: Process Quantities and Prices                    |
|  E    |0ABC_C06     |D      |CO-OM-ABC:Cost+Alloc|CO-OM-ABC: Costs and Allocations                            |
|  E    |0ABC_C13     |D      |CO-OM-CCA: Prim.Cost|CO-OM-CCA: Prim. Cost Comp.Split (old version - do not use!)|
|  E    |0ABC_C14     |D      |CO-OM-CCA: Variances|CO-OM-CCA: Variances (old version - do not use!)            |
|  E    |0ABC_C15     |D      |Activity Allocation |Activity Allocation (Costs and Quantities)                  |
|  E    |0ABC_C15     |M      |Activity allocation |Activity allocation (costs and quantities)                  |
|  E    |0AB_C01      |D      |Pooled Payment      |Pooled Payment with Customer Settlement                     |
|  E    |0AB_C02      |D      |Pooled Payment via  |Pooled Payment by Means of Posting List                     |
|  E    |0AD_C01      |D      |Reliability of      |Base object reliability                                     |
|  E    |0AFMM_C01    |D      |AFS Purchasing      |AFS Purchasing                                              |
|  E    |0AFMM_C02    |D      |Stock-Weekly Basis  |Stock on a Weekly Basis                                     |
|  E    |0AFPP_C01    |D      |AFS Stat.Prod.Orders|AFS Status Production Orders                                |
|  E    |0AFPP_C02    |D      |AFS Period-Exact    |AFS Period-Exact Material Consumption                       |
|  E    |0AFSDMP01    |D      |AFS Sales           |AFS Sales                                                   |
|  E    |0AFSD_C01    |D      |AFS Sales           |AFS Sales                                                   |
|  E    |0AF_MC01     |D      |AFS MultiCube Mat.  |AFS MultiCube Material Overview                             |
|  E    |0AI_C01      |D      |Reporting for SAP AI|Reporting for SAP AII: Reads and Writes                     |
|  E    |0AI_C02      |D      |Reporting for SAP AI|Reporting for SAP AII: Stock Situation and Movem. (with ID) |
|  E    |0AI_C03      |D      |Reporting for SAP AI|Reporting for SAP AII: Stock Situation and Movem. (w/o ID)  |
|  E    |0AI_C04      |D      |Reporting for SAP AI|Reporting for SAP AII: Current State of Objects             |
|  E    |0ALM_C01     |D      |Volume and Interest |Volume and Interest results                                 |
|  E    |0ALM_C02     |D      |Cash flow and liquid|Cash flow and liquidity                                     |
|  E    |0ALM_C03     |D      |Profit & Loss- write|Profit & Loss- write up / write down                        |
|  E    |0ALM_MC01    |D      |FI-GL  &  ALM report|FI-GL  &  ALM reports(Keydate, Outflow & Interests eval.)   |
|  E    |0APO_C01     |D      |Resource and Operat.|Resource and Operation Data                                 |
|  E    |0APO_C02     |D      |Order Data          |Order Data                                                  |
|  E    |0APO_C03     |D      |Order/Customer Assgt|Order/Customer Assignment                                   |
|  E    |0APO_C07     |D      |Demand Plng Total   |Demand Planning Total                                       |
|  E    |0APO_C10     |D      |Order Forecast      |Order Forecast                                              |
|  E    |0APO_C11     |D      |Global Capacity Util|Global Capacity Utilization                                 |
|  E    |0APO_C12     |D      |Global Inventory Vie|Global Inventory View                                       |
|  E    |0APO_MC01    |D      |Plan/Act. Comparison|Planned/Actual Comparison of Production Quantities          |
|  E    |0APO_MC02    |D      |Plan/Act. Comparison|Planned/Actual Comparison of Sales Quantities               |
|  E    |0APO_MP03    |D      |Order Data          |Order Data                                                  |
|  E    |0APO_MP04    |D      |Demand Planning Tot.|Demand Planning Total                                       |
|  E    |0APO_MP05    |D      |Order Forecast      |Order Forecast                                              |
|  E    |0APO_MP06    |D      |Global Cap. Utiliz. |Global Capacity Utilization                                 |
|  E    |0APO_MP07    |D      |Global Stock Overv. |Global Stock Overview                                       |
|  E    |0AS_C01      |D      |Processes           |Processes                                                   |
|  E    |0AS_C02      |D      |Process Step Detail |Process Step Details                                        |
|  E    |0AS_MC01     |D      |Processes           |Processes                                                   |
|  E    |0AS_MC02     |D      |Process Step Detail |Process Step Details                                        |
|  E    |0AS_MC03     |D      |Proc. and Headcount |Processes and Headcount                                     |
|  E    |0AUJITC01    |D      |Sequenced           |Sequenced JIT Calls                                         |
|  E    |0AUPPC_1     |D      |Backflush Header Rec|Backflush Header Records                                    |
|  E    |0AUPPC_2     |D      |Goods Issues        |Goods Issues                                                |
|  E    |0AUPPC_3     |D      |Confirmations Assemb|Confirmations Assemblys + Comp./Activities (Multi-Cube)     |
|  E    |0AUVMSC01    |D      |Vehicle data        |Vehicle data                                                |
|  E    |0AU_WTYG1    |D      |Completed claims    |Completed claims                                            |
|  E    |0BADRMC01    |D      |Basel II: MultiProv.|Basel II: Multiprovider Reports 1-15                        |
|  E    |0BADRMC02    |D      |BII: EL MultiProv.  |Basel II: MultiProvider for Comparision of Expected Loss    |
|  E    |0BADRMC21    |D      |Basel II: D&R COREP |Basel II: D&R COREP Solvency                                |
|  E    |0BADRMC22    |D      |Basel II: D&R COREP |Basel II: D&R COREP Credit Risk                             |
|  E    |0BADR_C01    |D      |Basel II: D&R CPRisk|Basel II: Disclosure & Reporting: Counterparty Risk         |
|  E    |0BADR_C04    |D      |BII: D&R Comm. RE   |Basel II: D&R Commercial Real Estate Loan                   |
|  E    |0BADR_C06    |D      |BII: Equity Holdings|Basel II: D&R Equity Holdings                               |
|  E    |0BADR_C07    |D      |BII: D&R Securitiztn|Basel II: D&R Securitizations                               |
|  E    |0BADR_C21    |D      |Basel II: D&R COREP |Basel II: D&R COREP Solvency                                |
|  E    |0BADR_C24    |D      |Basel II:D&R Inflows|Basel II:D&R Inflows                                        |
|  E    |0BADR_C25    |D      |Basel II: D&R COREP |Basel II: D&R COREP OpRisk                                  |
|  E    |0BADR_C28    |D      |Basel II: D&R BPs   |Basel II: D&R Business Partners                             |
|  E    |0BAFD_MP1    |D      |BA ERP MultiProvider|Bank Analyzer ERP MultiProvider                             |
|  E    |0BAPAMP01    |D      |Contr.Margin: Period|Contribution Margin: Periodic                               |
|  E    |0BAPAMP02    |D      |CM Per. Actual, Det.|Contribution Margin: Periodic, Actual, Details              |
|  E    |0BAPA_C01    |D      |Per. Costs: Actual  |Periodic Costs: Actual                                      |
|  E    |0BAPA_C02    |D      |Periodic Costs: Plan|Periodic Costs: Plan                                        |
|  E    |0BAPA_C03    |D      |FTs: Periodic Costs |Periodic Costs for Financial Transactions                   |
|  E    |0BAPA_C04    |D      |FIs: Periodic Costs |Periodic Costs for Financial Instruments                    |
|  E    |0BAPA_C05    |D      |Per.Costs:Aggr.Obj. |Periodic Costs: Aggregation Object                          |
|  E    |0BA_C01      |D      |Fin.Statement Items |Financial Statement Items                                   |
|  E    |0BA_FDC01    |D      |B/S and Profit/Loss |Balance Sheet and Profit and Loss Statement                 |
|  E    |0BA_FDC02    |D      |BA Notes            |BA Notes                                                    |
|  E    |0BA_FDC03    |D      |BA Fin. Data Mart   |BA Financial Data Mart                                      |
|  E    |0BA_FDC04    |D      |BA FI-GL            |BA FI-GL                                                    |
|  E    |0BA_FDR01    |D      |BA B/S + P+L Remote |BA Balance Sheet and Profit and Loss Statement: Remote      |
|  E    |0BA_FDR02    |D      |BA FI-GL Remote     |BA FI-GL Remote                                             |
|  E    |0BA_FDV01    |D      |BA Fin. Data Mart   |BA Financial Data Mart: Virtual Provider                    |
|  E    |0BA_FDV04    |D      |BA FI-GL Vrtl Prov. |BA FI-GL Virtual Provider                                   |
|  E    |0BA_MC01     |D      |Multi-Fin.Stat.Items|Multiple Financial Statement Items                          |
|  E    |0BA_MC10     |D      |BA Integrated Rptg  |BA Integrated Reporting                                     |
|  E    |0BA_MC2      |D      |BA Rptng MultiProv. |BA Reporting MultiProvider                                  |
|  E    |0BBP_C01     |A      |e-Procurement - Tota|e-Procurement - Totals Records                              |
|  E    |0BBP_C01     |D      |GS (Point-to-Point) |Global Spend (Point-to-Point Connect.)                      |
|  E    |0BBP_C01     |M      |e-Procurement - Tota|e-Procurement - Totals Records                              |
|  E    |0BBP_C02     |D      |e-Proc. AccntAssign.|e-Procurement Account Assignment - Totals Records           |
|  E    |0BBP_MP01    |D      |GS (Point-to-Point) |Global Spend (Point-to-Point Connect.)                      |
|  E    |0BBP_MP02    |D      |Actual Value for PO |Actual Value for Purchase Order - Single Documents          |
|  E    |0BBP_MP03    |D      |Contract Management |Contract Management                                         |
|  E    |0BCS_C10     |D      |Consolidation (Compa|Consolidation (Company/Profit Center)                       |
|  E    |0BCS_C11     |D      |Consolidation (Compa|Consolidation (Company/Cons Profit Center)                  |
|  E    |0BCS_C21     |D      |Reporting InfoCube  |Reporting InfoCube for Delta Load (from 0BCS_C11)           |
|  E    |0BCS_C50     |D      |Consolidation (Cons |Consolidation (Cons Unit)                                   |
|  E    |0BCS_MP21    |D      |MultiProvider D/Load|MultiProvider for Delta Load                                |
|  E    |0BCS_VC10    |D      |Consolidation (Compa|Consolidation (Company/Profit Center)                       |
|  E    |0BCS_VC11    |D      |Consolidation (Compa|Consolidation (Company/Cons Profit Center)                  |
|  E    |0BCS_VC12    |D      |Consolidation_Docume|Consolidation_Documents_Virtual Cube                        |
|  E    |0BCTCBC01    |D      |Obsolete. Use Master|Obsolete. Use Master Data Reporting on 0TCTBWOBJCT instead  |
|  E    |0BE_C01      |D      |Billing Documents   |Billing Documents                                           |
|  E    |0BPM_C01     |D      |Aggregated Process D|Aggregated Process Data                                     |
|  E    |0BPM_C02     |D      |Aggregated Alert Dat|Aggregated Alert Data                                       |
|  E    |0BVEM_C01    |D      |SAP Beverage Empties|SAP Beverage Empties evaluation                             |
|  E    |0BVSR_C01    |D      |Analysis SR         |Analysis Sales Returns                                      |
|  E    |0BVTS_C01    |D      |SAP Beverage TS     |SAP Beverage Telephone Sales Overview                       |
|  E    |0BWTCFC1     |D      |BW Technical Content|BW Technical Content FC1                                    |
|  E    |0BWTCFC2     |D      |BW Technical Content|BW Technical Content 2                                      |
|  E    |0BWTC_C02    |A      |BW Statistics - OLAP|BW Statistics - OLAP                                        |
|  E    |0BWTC_C02    |D      |BW Statistics - OLAP|BW Statistics - OLAP                                        |
|  E    |0BWTC_C02    |M      |BW Statistics - OLAP|BW Statistics - OLAP                                        |
|  E    |0BWTC_C03    |A      |BW Statistics - OLAP|BW Statistics - OLAP, Detail Navigation                     |
|  E    |0BWTC_C03    |D      |BW Statistics- OLAP,|BW Statistics - OLAP, Detail Navigation                     |
|  E    |0BWTC_C03    |M      |BW Statistics - OLAP|BW Statistics - OLAP, Detail Navigation                     |
|  E    |0BWTC_C04    |A      |BW Statistics - Aggr|BW Statistics - Aggregates                                  |
|  E    |0BWTC_C04    |D      |BW Statistics- Aggs |BW Statistics - Aggregates                                  |
|  E    |0BWTC_C04    |M      |BW Statistics - Aggr|BW Statistics - Aggregates                                  |
|  E    |0BWTC_C05    |A      |BW Statistics - WHM |BW Statistics - WHM                                         |
|  E    |0BWTC_C05    |D      |BW Statistics - WHM |BW Statistics - WHM                                         |
|  E    |0BWTC_C05    |M      |BW Statistics - WHM |BW Statistics - WHM                                         |
|  E    |0BWTC_C06    |D      |BW Data Slice       |BW Data Slice                                               |
|  E    |0BWTC_C07    |D      |Requests in InfoCube|Requests in the InfoCube                                    |
|  E    |0BWTC_C08    |D      |BW Metadata         |BW Metadata                                                 |
|  E    |0BWTC_C09    |A      |BW Statistics: Conde|BW Statistics: Condensing InfoCubes                         |
|  E    |0BWTC_C09    |D      |BW Statistics: Cond.|BW Statistics: Condensing InfoCubes                         |
|  E    |0BWTC_C09    |M      |BW Statistics: Conde|BW Statistics: Condensing InfoCubes                         |
|  E    |0BWTC_C10    |A      |BW Statistics       |BW Statistics                                               |
|  E    |0BWTC_C10    |D      |BW Statistics       |BW Statistics                                               |
|  E    |0BWTC_C10    |M      |BW Statistics       |BW Statistics                                               |
|  E    |0BWTC_C11    |A      |BW Statistics: Delet|BW Statistics: Deleting Data from InfoCubes                 |
|  E    |0BWTC_C11    |D      |BW Stats: Delete    |BW Statistics: Deleting Data from InfoCubes                 |
|  E    |0BWTC_C11    |M      |BW Statistics: Delet|BW Statistics: Deleting Data from InfoCubes                 |
|  E    |0CATS_1      |D      |Time Sheet          |Time Sheet                                                  |
|  E    |0CATS_C01    |D      |Time Sheet(Approved)|Time Sheet (Approved)                                       |
|  E    |0CATS_C02    |D      |Time Sheet(For Appr)|Time Sheet (For Approval)                                   |
|  E    |0CATS_MC1    |D      |Time Sheet (Total)  |Time Sheet (Total)                                          |
|  E    |0CB_C01      |D      |Contract Budget     |Contract Budget                                             |
|  E    |0CB_C02      |D      |Funding Invoice Valu|Funding Invoice Values                                      |
|  E    |0CB_C03      |D      |Funding Invoice Line|Funding Invoice Line Items                                  |
|  E    |0CB_MC01     |D      |Funding Budget      |Funding Budget                                              |
|  E    |0CB_MC02     |D      |Funding Invoices    |Funding Invoices                                            |
|  E    |0CB_MC03     |D      |Invoice Disbursement|Invoice Disbursement                                        |
|  E    |0CCA_C01     |A      |CCA: Csts and allcs |CCA: Costs and allocations (full costs)                     |
|  E    |0CCA_C01     |D      |CO-OM-CCA:Cost+Alloc|CO-OM-CCA: Costs and Allocations (old version - do not use!)|
|  E    |0CCA_C01     |M      |CCA: Csts and allcs |CCA: Costs and allocations (full costs)                     |
|  E    |0CCA_C02     |A      |CCA: Csts and allcs |CCA: Costs and allocations (marginal costs)                 |
|  E    |0CCA_C02     |D      |CO-OM-CCA:Cost+Alloc|CO-OM-CCA: Costs and Allocations (by Activity Type)         |
|  E    |0CCA_C02     |M      |CCA: Csts and allcs |CCA: Costs and allocations (marginal costs)                 |
|  E    |0CCA_C03     |A      |CCA: Stat. key figs |CCA: Statistical key figures                                |
|  E    |0CCA_C03     |D      |CO-OM-CCA: Stat. KF |CO-OM-CCA: Statistical Key Figures                          |
|  E    |0CCA_C03     |M      |CCA: Stat. key figs |CCA: Statistical key figures                                |
|  E    |0CCA_C04     |D      |CO-OM-CCA: ActyTypes|CO-OM-CCA: Activity Types and Prices                        |
|  E    |0CCA_C11     |D      |CO-OM-CCA:Cost+Alloc|CO-OM-CCA: Costs and Allocations                            |
|  E    |0CCA_C20     |D      |Cost Centers: Costs |Cost Centers: Costs and Allocations (Replicated)            |
|  E    |0CCA_C30     |D      |CCtrs: Stat. Key Fig|Cost Centers: Statistical Key Figures (Replicated)          |
|  E    |0CCA_M20     |D      |Cost Centers: Costs |Cost Centers: Costs and Allocations                         |
|  E    |0CCA_M30     |D      |CCtrs: Stat. Key Fig|Cost Centers: Statistical Key Figures                       |
|  E    |0CCA_M40     |D      |CCtrs: Actual LIs   |Cost Centers: Actual Line Items                             |
|  E    |0CCA_MP01    |D      |CO-OM-CCA:Cost+Alloc|CO-OM-CCA: Costs and Allocations                            |
|  E    |0CCA_R20     |D      |Cost Centers: Costs |Cost Centers: Costs and Allocations (Direct)                |
|  E    |0CCA_R30     |D      |CCtrs: Stat. Key Fig|Cost Centers: Statistical Key Figures (Direct)              |
|  E    |0CCA_R40     |D      |CCtrs: Actual LIs   |Cost Centers: Actual Line Items (Direct)                    |
|  E    |0CCMAETPH    |D      |Ext. ESI Time Prof. |ESI Time Profile (Extended)                                 |
|  E    |0CCMARCDH    |D      |RFC Clnt Dst.Subrecs|RFC Client Destination Aggregate (Extended)                 |
|  E    |0CCMARCH     |D      |Ext. RFC Clt Agg.   |RFC Client Aggregate (Extended)                             |
|  E    |0CCMARSDH    |D      |Ext. RFC Srv Dst Agg|RFC Server Destination Aggregate (Extended)                 |
|  E    |0CCMARSH     |D      |Ext. RFC Srv. Agg.  |RFC Server Aggregate (Extended)                             |
|  E    |0CCMBCKP     |D      |Backup-Cube for CCMS|Backup Cube for CCMS Performance Data                       |
|  E    |0CCMDAACT    |D      |DSR Action Profile  |DSR Action Profile                                          |
|  E    |0CCMDACT1    |D      |DSR Call Statistics |DSR Call Statistics                                         |
|  E    |0CCMDAESL    |D      |DSR: Wload f.Ext Sys|DSR: Workload from External Systems                         |
|  E    |0CCMDAHGR    |D      |DSR StatsAgg w.HiGrn|DSR Statistics Aggregate with High Granularity              |
|  E    |0CCMDAHIR    |D      |DSR HitList: RespTm.|DSR Hit List: Response Time                                 |
|  E    |0CCMDAHIW    |D      |DSR HitList: Call Tm|DSR Hit List: Call Time                                     |
|  E    |0CCMDARTC    |D      |DSR Resp.Time Distr.|DSR Response Time Distribution                              |
|  E    |0CCMDASYL    |D      |DSR Workload Overv. |DSR Workload Overview                                       |
|  E    |0CCMDAY1     |D      |PerfData, Dly AvVals|Performance Data, Daily Average Values                      |
|  E    |0CCMDAY2     |D      |PerfData, Dly AvVals|Performance Data, Daily Average Values                      |
|  E    |0CCMDMCLI    |D      |DSR SRcs wCISrcs(MC)|DSR Single Records with Client Info. Subrecords (MultiCube) |
|  E    |0CCMDMCT1    |D      |DSR SRs wCllSrcs(MC)|DSR Single Records with Call Subrecords (MultiCube)         |
|  E    |0CCMDMMN     |D      |DSR SRs wStatsMRs-MC|DSR Single Records with Statistics Main Records (MultiCube) |
|  E    |0CCMDRCLI    |D      |DSR ClntInfo Subrecs|DSR Client Info. Subrecords (RemoteCube)                    |
|  E    |0CCMDRCT1    |D      |DSR Call Subrcs (RC)|DSR Call Subrecords (RemoteCube)                            |
|  E    |0CCMDRMN     |D      |DSR Stats Main Recs |DSR Statistics Main Records (RemoteCube)                    |
|  E    |0CCMHOUR1    |D      |Perf. Data, Hrly Av.|Performance Data, Hourly Average Values                     |
|  E    |0CCMHOUR2    |D      |Perf. Data, Hrly Av.|Performance Data, Hourly Average Values                     |
|  E    |0CCMMIN1     |D      |PerfData, Minte Vals|Performance Data, Minute Values                             |
|  E    |0CCMMIN2     |D      |PerfData, Minte Vals|Performance Data, Minute Values                             |
|  E    |0CCMMNTH1    |D      |PerfData,MntlyAvVals|Performance Data, Monthly Average Values                    |
|  E    |0CCMMNTH2    |D      |PerfData,MntlyAvVals|Performance Data, Monthly Average Values                    |
|  E    |0CCMPDATA    |D      |Performance Data    |Performance Data                                            |
|  E    |0CCMQTR1     |D      |Perf.Data, Qu.H.Vals|Performance Data, Quarter-Hourly Values                     |
|  E    |0CCMQTR2     |D      |Perf.Data, Qu.H.Vals|Performance Data, Quarter-Hourly Values                     |
|  E    |0CCMSADBC    |D      |DB Connection Stats |DB Connection Statistics                                    |
|  E    |0CCMSADBP    |D      |Database Procedures |Database Procedures                                         |
|  E    |0CCMSAETP    |D      |ESI Time Profile    |ESI Time Profile                                            |
|  E    |0CCMSAEXE    |D      |Load f. Ext. Systems|Load from External Systems (Extended)                       |
|  E    |0CCMSAEXS    |D      |Load f. Ext. Systems|Load from External Systems                                  |
|  E    |0CCMSAFRO    |D      |Frontend Statistics |Frontend Statistics                                         |
|  E    |0CCMSAHD     |D      |HL: Top DB Accesses |Hit Lists: Top DB Accesses - Dialog Step                    |
|  E    |0CCMSAHGR    |D      |Stats Agg w.Hi.Gran.|Statistics Aggregate with High Granularity                  |
|  E    |0CCMSAHR     |D      |HL: Top Resp.Time(D)|Hit Lists: Top Response Time - Dialog Step                  |
|  E    |0CCMSAINQ    |D      |Inbound Queue Stats |Inbound Queue Statistics                                    |
|  E    |0CCMSAMEM    |D      |Memory Use Stats    |Memory Use Statistics                                       |
|  E    |0CCMSARC     |D      |RFC Client Aggregate|RFC Client Aggregate                                        |
|  E    |0CCMSARCD    |D      |RFC Clnt Dest. Agg. |RFC Client Destination Aggregate                            |
|  E    |0CCMSARS     |D      |RFC Server Aggregate|RFC Server Aggregate                                        |
|  E    |0CCMSARSD    |D      |RFC Srvr Dest Agg.  |RFC Server Destination Aggregate                            |
|  E    |0CCMSASPA    |D      |Spool Activity      |Spool Activity                                              |
|  E    |0CCMSASPO    |D      |Spool Overview      |Spool Overview                                              |
|  E    |0CCMSATAB    |D      |Table Records       |Table Records                                               |
|  E    |0CCMSATCD    |D      |TCode Detail        |Transaction Code Detail                                     |
|  E    |0CCMSATIM    |D      |Time Profile        |Time Profile                                                |
|  E    |0CCMSATPH    |D      |Ext. Time Profile   |Time Profile (Extended)                                     |
|  E    |0CCMSATTI    |D      |Resp. Time Distr.   |Response Time Distribution                                  |
|  E    |0CCMSATTY    |D      |Workload Overview   |Workload Overview                                           |
|  E    |0CCMSAUTC    |D      |Transct. + Usr Prfl.|Transaction and User Profile                                |
|  E    |0CCMSAUWL    |D      |Account Statistics  |Account Statistics                                          |
|  E    |0CCMSAWC     |D      |Web Client Stats    |Web Client Statistics                                       |
|  E    |0CCMSAWCD    |D      |Web Clnt Dest Stats |Web Client Destination Statistics                           |
|  E    |0CCMSAWS     |D      |Web Server Stats    |Web Server Statistics                                       |
|  E    |0CCMSAWSD    |D      |Web Srvr Dest Stats |Web Server Destination Statistics                           |
|  E    |0CCMSAWSX    |D      |Ext.WebSrv.Dst Stats|Web Server Destination Statistics (Extended)                |
|  E    |0CCMSDSR     |D      |DSR Aggregates (MC) |DSR Aggregates (MultiCube)                                  |
|  E    |0CCMSESI     |D      |ESI Statistics      |ESI Statistics                                              |
|  E    |0CCMSESIS    |D      |ESI Stats (Total)   |ESI Statistics (Total)                                      |
|  E    |0CCMSMESI    |D      |ESI Statistics (MC) |ESI Statistics (MultiCube)                                  |
|  E    |0CCMSMRC     |D      |RFC Client Stats    |RFC Client Statistics (MultiCube)                           |
|  E    |0CCMSMRCD    |D      |RFC Clnt Dst.Subrecs|RFC Client Destination Statistics (MultiCube)               |
|  E    |0CCMSMRS     |D      |RFC Server Stats    |RFC Server Statistics (MultiCube)                           |
|  E    |0CCMSMRSD    |D      |Ext. RFC Srv Dst Agg|RFC Server Destination Statistics (MultiCube)               |
|  E    |0CCMSMTPH    |D      |Time Profiles (MC)  |Time Profiles (MultiCube)                                   |
|  E    |0CCMSWORK    |D      |Workload Overview   |Workload Overview                                           |
|  E    |0CCMVRKF     |D      |Perf. Data, Virt.KFs|Performance Data, Virtual Key Figures                       |
|  E    |0CCMWAADB    |D      |DB Subrecs: AppStats|DB Subrecords of Application Statistics Records (RemoteCube)|
|  E    |0CCMWAAMM    |D      |App.Stats Sngle Recs|Application Statistics Single Records (RemoteCube)          |
|  E    |0CCMWAMDB    |D      |DB Subrecs: AppStats|DB Subrecords of Application Statistics Records             |
|  E    |0CCMWAMMN    |D      |App.Stats Sngle Recs|Application Statistics Single Records                       |
|  E    |0CCMWEEK1    |D      |PerfData, WklyAvVals|Performamnce Data, Weekly Average Values                    |
|  E    |0CCMWEEK2    |D      |PerfData, WklyAvVals|Performamnce Data, Weekly Average Values                    |
