19.04.2015                                        Dynamic List Display                                               1
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
|  LANGU|LOGDPID                       |OBJVERS|VARIANT |TEXT                                                        |
|  E    |0PAK_3FHMBKTL3VNIS85GTM101CX4A|D      |CUSTOMER|Medium (SAP Demo) (Texts)                                   |
|  E    |0PAK_3FHMBL19MU98AUOWZG3CBEVU2|D      |CUSTOMER|Serial Number (SAP Demo) (Master Data)                      |
|  E    |0PAK_3FHMBL8Y5SUXTH8D5A5OLGUJU|D      |CUSTOMER|Language (SAP Demo) (Texts)                                 |
|  E    |0PAK_3FHMBLGMORGNC3RTB480VIT9M|D      |CUSTOMER|Product Text                                                |
|  E    |0PAK_3FHMBLOB7Q2CUQB9GYAD5KRZE|D      |CUSTOMER|Container (SAP DEMO)                                        |
|  E    |0PAK_3FHMBLVZQOO2DCUPMSCPFMQP6|D      |CUSTOMER|Container Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMBM3O9N9RVZE5SMF1POPEY|D      |CUSTOMER|District (SAP DEMO)                                         |
|  E    |0PAK_3FHMBMBCSLVHELXLYGHDZQO4Q|D      |CUSTOMER|Group (SAP DEMO)                                            |
|  E    |0PAK_3FHMBMJ1BKH6X8H24AJQ9SMUI|D      |CUSTOMER|Chain (SAP DEMO)                                            |
|  E    |0PAK_3FHMBMQPUJ2WFV0IA4M2JULKA|D      |CUSTOMER|Customer Group (SAP DEMO)                                   |
|  E    |0PAK_3FHMBMYEDHOLYHJYFYOETWKA2|D      |CUSTOMER|Packaging Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMBN62WGABH43ELSQR3YIZU|D      |CUSTOMER|Key Account Manager (SAP DEMO)                              |
|  E    |0PAK_3FHMBNDRFEW0ZQMURMT3E0HPM|D      |CUSTOMER|Product Group (SAP DEMO)                                    |
|  E    |0PAK_3FHMBNLFYDHQID6AXGVFO2GFE|D      |CUSTOMER|Subdistrict (SAP DEMO)                                      |
|  E    |0PAK_3FHMBO0T0AP5JM97950486DUY|D      |CUSTOMER|Sales Office Text                                           |
|  E    |0PAK_3FHMBO8HJ9AV28SNEZ2GI8CKQ|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMBOG627WKKVC3KT4SSABAI|D      |CUSTOMER|Sales Organization Master Data                              |
|  E    |0PAK_3FHMBONUL6IA3HVJQN752CA0A|D      |CUSTOMER|Profitability Analysis TD                                   |
|  E    |0PAK_3FHMBOVJ453ZM4EZWH9HCE8Q2|D      |CUSTOMER|Value Type Text                                             |
|  E    |0PAK_3FHMBP37N3PP4QYG2BBTMG7FU|D      |CUSTOMER|Customer Accounting TD                                      |
|  E    |0PAK_3FHMBPAW62BENDHW85E5WI65M|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMBPIKP0X4601CDZGI6K4VE|D      |CUSTOMER|GIS Region Text                                             |
|  E    |0PAK_3FHMBPQ97ZITOMKSJTIUGM3L6|D      |CUSTOMER|Company Code Text                                           |
|  E    |0PAK_3FHMBPXXQY4J7948PNL6QO2AY|D      |CUSTOMER|Sales Group Text                                            |
|  E    |0PAK_3FHMBQ5M9WQ8PVNOVHNJ0Q10Q|D      |CUSTOMER|Material Text                                               |
|  E    |0PAK_3FHMBQDASVBY8I751BPVARZQI|D      |CUSTOMER|Material Group Text                                         |
|  E    |0PAK_3FHMBQKZBTXNR4QL75S7KTYGA|D      |CUSTOMER|Sales Region (SAP DEMO)                                     |
|  E    |0PAK_3FHMBQSNUSJD9RA1CZUJUVX62|D      |CUSTOMER|Material Master Data                                        |
|  E    |0PAK_3FHMBR0CDR52SDTHITWW4XVVU|D      |CUSTOMER|Country Text                                                |
|  E    |0PAK_3FHMBR80WPQSB0CXONZ8EZULM|D      |CUSTOMER|Distribution Channel Text                                   |
|  E    |0PAK_3FHMBRFPFOCHTMWDUI1KP1TBE|D      |CUSTOMER|Division Text                                               |
|  E    |0PAK_3FHMBRNDYMY7C9FU0C3WZ3S16|D      |CUSTOMER|Company Code Master Data                                    |
|  E    |0PAK_3FHMBRV2HLJWUVZA666995QQY|D      |CUSTOMER|Purchasing Organization Text                                |
|  E    |0PAK_3FHMBS2R0K5MDIIQC08LJ7PGQ|D      |CUSTOMER|Vendor Text                                                 |
|  E    |0PAK_3FHMBSAFJIRBW526HUAXT9O6I|D      |CUSTOMER|Currency Type Text                                          |
|  E    |0PAK_3FHMBSI42HD1ERLMNODA3BMWA|D      |CUSTOMER|SD TD                                                       |
|  E    |0PAK_3FHMBSPSLFYQXE52TIFMDDLM2|D      |CUSTOMER|Sales Organization Text                                     |
|  E    |0PAK_3FHMBSXH4EKGG0OIZCHYNFKBU|D      |CUSTOMER|Sold-to Party Master Data                                   |
|  E    |0PAK_3FHMBT55ND65YN7Z56KAXHJ1M|D      |CUSTOMER|Purchasing TD                                               |
|  E    |0PAK_3FHMBTKIPADKZWAVGUOZHLGH6|D      |CUSTOMER|Sales Personnel Text                                        |
|  E    |0PAK_3FHMBTS788ZAIIUBMORBRNF6Y|D      |CUSTOMER|Version Text                                                |
|  E    |0PAK_3FHMBTZVR7L015DRSITO1PDWQ|D      |CUSTOMER|Product Hierarchy Text                                      |
|  E    |0PAK_3FHMBU7KA66PJRX7YCW0BRCMI|D      |CUSTOMER|SD: Overview TD                                             |
|  E    |0PAK_3FHMBUF8T4SF2EGO46YCLTBCA|D      |CUSTOMER|Customer Master Data                                        |
|  E    |0PAK_3FHMBUMXC3E4L104A10OVVA22|D      |CUSTOMER|Industry Sector Key Text                                    |
|  E    |0PAK_3FHMBUULV1ZU3NJKFV315X8RU|D      |CUSTOMER|Region Text                                                 |
|  E    |0PAK_3FHMBV2AE0LJMA30LP5DFZ7HM|D      |CUSTOMER|Plant Text                                                  |
|  E    |0PAK_3FHMBV9YWZ794WMGRJ7PQ167E|D      |CUSTOMER|Number of User(s) (SAP Demo) (Texts)                        |
|  E    |0PAK_3FHMBVX0HV0DOS8T91EQK72CQ|D      |CUSTOMER|Medium (SAP Demo) (Texts)                                   |
|  E    |0PAK_3FHMBW4P0TM37ES9EVH2U912I|D      |CUSTOMER|Serial Number (SAP Demo) (Master Data)                      |
|  E    |0PAK_3FHMBWCDJS7SQ1BPKPJF4AZSA|D      |CUSTOMER|Language (SAP Demo) (Texts)                                 |
|  E    |0PAK_3FHMBWK22QTI8NV5QJLRECYI2|D      |CUSTOMER|Product Text                                                |
|  E    |0PAK_3FHMBWRQLPF7RAELWDO3OEX7U|D      |CUSTOMER|Container (SAP DEMO)                                        |
|  E    |0PAK_3FHMBWZF4O0X9WY227QFYGVXM|D      |CUSTOMER|Container Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMBX73NMMMSJHI81SS8IUNE|D      |CUSTOMER|District (SAP DEMO)                                         |
|  E    |0PAK_3FHMBXES6L8CB60YDVV4IKTD6|D      |CUSTOMER|Group (SAP DEMO)                                            |
|  E    |0PAK_3FHMBXMGPJU1TSKEJPXGSMS2Y|D      |CUSTOMER|Chain (SAP DEMO)                                            |
|  E    |0PAK_3FHMBXU58IFRCF3UPJZT2OQSQ|D      |CUSTOMER|Customer Group (SAP DEMO)                                   |
|  E    |0PAK_3FHMBY1TRH1GV1NAVE25CQPII|D      |CUSTOMER|Packaging Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMBY9IAFN6DO6R184HMSO8A|D      |CUSTOMER|Key Account Manager (SAP DEMO)                              |
|  E    |0PAK_3FHMBYH6TE8VWAQ7726TWUMY2|D      |CUSTOMER|Product Group (SAP DEMO)                                    |
|  E    |0PAK_3FHMBYOVCCULEX9NCW966WLNU|D      |CUSTOMER|Subdistrict (SAP DEMO)                                      |
|  E    |0PAK_3FHMBZ48EA20G6CJOKDUR0J3E|D      |CUSTOMER|Sales Office Text                                           |
|  E    |0PAK_3FHMBZBWX8NPYSVZUEG712HT6|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMBZJLG79FHFFG08IJB4GIY|D      |CUSTOMER|Sales Organization Master Data                              |
|  E    |0PAK_3FHMBZR9Z5V501YW62KVL6F8Q|D      |CUSTOMER|Profitability Analysis TD                                   |
|  E    |0PAK_3FHMBZYYI4GUIOICBWN7V8DYI|D      |CUSTOMER|Value Type Text                                             |
|  E    |0PAK_3FHMC06N132K1B1SHQPK5ACOA|D      |CUSTOMER|Customer Accounting TD                                      |
|  E    |0PAK_3FHMC0EBK1O9JXL8NKRWFCBE2|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMC0M0309Z2K4OTEU8PEA3U|D      |CUSTOMER|GIS Region Text                                             |
|  E    |0PAK_3FHMC0TOLYVOL6O4Z8WKZG8TM|D      |CUSTOMER|Company Code Text                                           |
|  E    |0PAK_3FHMC11D4XHE3T7L52YX9I7JE|D      |CUSTOMER|Sales Group Text                                            |
|  E    |0PAK_3FHMC191NW33MFR1AX19JK696|D      |CUSTOMER|Material Text                                               |
|  E    |0PAK_3FHMC1GQ6UOT52AHGR3LTM4YY|D      |CUSTOMER|Material Group Text                                         |
|  E    |0PAK_3FHMC1OEPTAINOTXML5Y3O3OQ|D      |CUSTOMER|Sales Region (SAP DEMO)                                     |
|  E    |0PAK_3FHMC1W38RW86BDDSF8ADQ2EI|D      |CUSTOMER|Material Master Data                                        |
|  E    |0PAK_3FHMC23RRQHXOXWTY9AMNS14A|D      |CUSTOMER|Country Text                                                |
|  E    |0PAK_3FHMC2BGAP3N7KGA43CYXTZU2|D      |CUSTOMER|Distribution Channel Text                                   |
|  E    |0PAK_3FHMC2J4TNPCQ6ZQ9XFB7VYJU|D      |CUSTOMER|Division Text                                               |
|  E    |0PAK_3FHMC2QTCMB28TJ6FRHNHXX9M|D      |CUSTOMER|Company Code Master Data                                    |
|  E    |0PAK_3FHMC2YHVKWRRG2MLLJZRZVZE|D      |CUSTOMER|Purchasing Organization Text                                |
|  E    |0PAK_3FHMC366EJIHA2M2RFMC21UP6|D      |CUSTOMER|Vendor Text                                                 |
|  E    |0PAK_3FHMC3DUXI46SP5IX9OOC3TEY|D      |CUSTOMER|Currency Type Text                                          |
|  E    |0PAK_3FHMC3LJGGPWBBOZ33R0M5S4Q|D      |CUSTOMER|SD TD                                                       |
|  E    |0PAK_3FHMC3T7ZFBLTY8F8XTCW7QUI|D      |CUSTOMER|Sales Organization Text                                     |
|  E    |0PAK_3FHMC40WIDXBCKRVERVP69PKA|D      |CUSTOMER|Sold-to Party Master Data                                   |
|  E    |0PAK_3FHMC48L1CJ0V7BBKLY1GBOA2|D      |CUSTOMER|Purchasing TD                                               |
|  E    |0PAK_3FHMC4NY39QFWGE7WA2Q0FLPM|D      |CUSTOMER|Sales Personnel Text                                        |
|  E    |0PAK_3FHMC4VMM8C5F2XO2452AHKFE|D      |CUSTOMER|Version Text                                                |
|  E    |0PAK_3FHMC53B56XUXPH47Y7EKJJ56|D      |CUSTOMER|Product Hierarchy Text                                      |
|  E    |0PAK_3FHMC5AZO5JKGC0KDS9QULHUY|D      |CUSTOMER|SD: Overview TD                                             |
|  E    |0PAK_3FHMC5IO7459YYK0JMC34NGKQ|D      |CUSTOMER|Customer Master Data                                        |
|  E    |0PAK_3FHMC5QCQ2QZHL3GPGEFEPFAI|D      |CUSTOMER|Industry Sector Key Text                                    |
|  E    |0PAK_3FHMC5Y191CP07MWVAGRORE0A|D      |CUSTOMER|Region Text                                                 |
|  E    |0PAK_3FHMC65PRZYEIU6D14J3YTCQ2|D      |CUSTOMER|Plant Text                                                  |
|  E    |0PAK_3FHMC6DEAYK41GPT6YLG8VBFU|D      |CUSTOMER|Number of User(s) (SAP Demo) (Texts)                        |
|  E    |0PAK_3FHMC70FVUD8LCC5OGSH317L6|D      |CUSTOMER|Medium (SAP Demo) (Texts)                                   |
|  E    |0PAK_3FHMC784ESYY3YVLUAUTD36AY|D      |CUSTOMER|Serial Number (SAP Demo) (Master Data)                      |
|  E    |0PAK_3FHMC7FSXRKNMLF204X5N550Q|D      |CUSTOMER|Language (SAP Demo) (Texts)                                 |
|  E    |0PAK_3FHMC7NHGQ6D57YI5YZHX73QI|D      |CUSTOMER|Product Text                                                |
|  E    |0PAK_3FHMC7V5ZOS2NUHYBT1U792GA|D      |CUSTOMER|Container (SAP DEMO)                                        |
|  E    |0PAK_3FHMC82UINDS6H1EHN46HB162|D      |CUSTOMER|Container Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMC8AJ1LZHP3KUNH6IRCZVU|D      |CUSTOMER|District (SAP DEMO)                                         |
|  E    |0PAK_3FHMC8I7KKL77Q4ATB8V1EYLM|D      |CUSTOMER|Group (SAP DEMO)                                            |
|  E    |0PAK_3FHMC8PW3J6WQCNQZ5B7BGXBE|D      |CUSTOMER|Chain (SAP DEMO)                                            |
|  E    |0PAK_3FHMC8XKMHSM8Z774ZDJLIW16|D      |CUSTOMER|Customer Group (SAP DEMO)                                   |
|  E    |0PAK_3FHMC9595GEBRLQNATFVVKUQY|D      |CUSTOMER|Packaging Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMC9CXOF01A8A3GNI85MTGQ|D      |CUSTOMER|Key Account Manager (SAP DEMO)                              |
|  E    |0PAK_3FHMC9KM7DLQSUTJMHKKFOS6I|D      |CUSTOMER|Product Group (SAP DEMO)                                    |
|  E    |0PAK_3FHMC9SAQC7GBHCZSBMWPQQWA|D      |CUSTOMER|Subdistrict (SAP DEMO)                                      |
|  E    |0PAK_3FHMCA7NS9EVCQFW3ZRL9UOBU|D      |CUSTOMER|Sales Office Text                                           |
|  E    |0PAK_3FHMCAFCB80KVCZC9TTXJWN1M|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMCAN0U6MADZISFNW9TYLRE|D      |CUSTOMER|Sales Organization Master Data                              |
|  E    |0PAK_3FHMCAUPD57ZWM28LHYM40KH6|D      |CUSTOMER|Profitability Analysis TD                                   |
|  E    |0PAK_3FHMCB2DW3TPF8LORC0YE2J6Y|D      |CUSTOMER|Value Type Text                                             |
|  E    |0PAK_3FHMCBA2F2FEXV54X63AO4HWQ|D      |CUSTOMER|Customer Accounting TD                                      |
|  E    |0PAK_3FHMCBHQY114GHOL305MY6GMI|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMCBPFGZMTZ4818U7Z88FCA|D      |CUSTOMER|GIS Region Text                                             |
|  E    |0PAK_3FHMCBX3ZY8JHQRHEOABIAE22|D      |CUSTOMER|Company Code Text                                           |
|  E    |0PAK_3FHMCC4SIWU90DAXKICNSCCRU|D      |CUSTOMER|Sales Group Text                                            |
|  E    |0PAK_3FHMCCCH1VFYIZUDQCF02EBHM|D      |CUSTOMER|Material Text                                               |
|  E    |0PAK_3FHMCCK5KU1O1MDTW6HCCGA7E|D      |CUSTOMER|Material Group Text                                         |
|  E    |0PAK_3FHMCCRU3SNDK8XA20JOMI8X6|D      |CUSTOMER|Sales Region (SAP DEMO)                                     |
|  E    |0PAK_3FHMCCZIMR932VGQ7UM0WK7MY|D      |CUSTOMER|Material Master Data                                        |
|  E    |0PAK_3FHMCD775PUSLI06DOOD6M6CQ|D      |CUSTOMER|Country Text                                                |
|  E    |0PAK_3FHMCDEVOOGI44JMJIQPGO52I|D      |CUSTOMER|Distribution Channel Text                                   |
|  E    |0PAK_3FHMCDMK7N27MR32PCT1QQ3SA|D      |CUSTOMER|Division Text                                               |
|  E    |0PAK_3FHMCDU8QLNX5DMIV6VE0S2I2|D      |CUSTOMER|Company Code Master Data                                    |
|  E    |0PAK_3FHMCE1X9K9MO05Z10XQAU17U|D      |CUSTOMER|Purchasing Organization Text                                |
|  E    |0PAK_3FHMCE9LSIVC6MPF6V02KVZXM|D      |CUSTOMER|Vendor Text                                                 |
|  E    |0PAK_3FHMCEHABHH1P98VCP2EUXYNE|D      |CUSTOMER|Currency Type Text                                          |
|  E    |0PAK_3FHMCEOYUG2R7VSBIJ4R4ZXD6|D      |CUSTOMER|SD TD                                                       |
|  E    |0PAK_3FHMCEWNDEOGQIBROD73F1W2Y|D      |CUSTOMER|Sales Organization Text                                     |
|  E    |0PAK_3FHMCF4BWDA694V7U79FP3USQ|D      |CUSTOMER|Sold-to Party Master Data                                   |
|  E    |0PAK_3FHMCFC0FBVVRREO01BRZ5TII|D      |CUSTOMER|Purchasing TD                                               |
|  E    |0PAK_3FHMCFRDH93AT0HKBPGGJ9QY2|D      |CUSTOMER|Sales Personnel Text                                        |
|  E    |0PAK_3FHMCFZ207P0BN10HJISTBPNU|D      |CUSTOMER|Version Text                                                |
|  E    |0PAK_3FHMCG6QJ6APU9KGNDL53DODM|D      |CUSTOMER|Product Hierarchy Text                                      |
|  E    |0PAK_3FHMCGEF24WFCW3WT7NHDFN3E|D      |CUSTOMER|SD: Overview TD                                             |
|  E    |0PAK_3FHMCGM3L3I4VINCZ1PTNHLT6|D      |CUSTOMER|Customer Master Data                                        |
|  E    |0PAK_3FHMCGTS423UE56T4VS5XJKIY|D      |CUSTOMER|Industry Sector Key Text                                    |
|  E    |0PAK_3FHMCH1GN0PJWRQ9APUI7LJ8Q|D      |CUSTOMER|Region Text                                                 |
|  E    |0PAK_3FHMCH955ZB9FE9PGJWUHNHYI|D      |CUSTOMER|Plant Text                                                  |
|  E    |0PAK_3FHMCHGTOXWYY0T5MDZ6RPGOA|D      |CUSTOMER|Number of User(s) (SAP Demo) (Texts)                        |
|  E    |0PAK_3FHMCI3V9TQ3HWFI3W67LVCTM|D      |CUSTOMER|Medium (SAP Demo) (Texts)                                   |
|  E    |0PAK_3FHMCIBJSSBT0IYY9Q8JVXBJE|D      |CUSTOMER|Serial Number (SAP Demo) (Master Data)                      |
|  E    |0PAK_3FHMCIJ8BQXIJ5IEFKAW5ZA96|D      |CUSTOMER|Language (SAP Demo) (Texts)                                 |
|  E    |0PAK_3FHMCIQWUPJ81S1ULED8G18YY|D      |CUSTOMER|Product Text                                                |
|  E    |0PAK_3FHMCIYLDO4XKELAR8FKQ37OQ|D      |CUSTOMER|Container (SAP DEMO)                                        |
|  E    |0PAK_3FHMCJ69WMQN314QX2HX056EI|D      |CUSTOMER|Container Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMCJDYFLCCLNO72WK9A754A|D      |CUSTOMER|District (SAP DEMO)                                         |
|  E    |0PAK_3FHMCJLMYJY24A7N8QMLK93U2|D      |CUSTOMER|Group (SAP DEMO)                                            |
|  E    |0PAK_3FHMCJTBHIJRMWR3EKOXUB2JU|D      |CUSTOMER|Chain (SAP DEMO)                                            |
|  E    |0PAK_3FHMCK100H5H5JAJKERA4D19M|D      |CUSTOMER|Customer Group (SAP DEMO)                                   |
|  E    |0PAK_3FHMCK8OJFR6O5TZQ8TMEEZZE|D      |CUSTOMER|Packaging Size (SAP DEMO)                                   |
|  E    |0PAK_3FHMCKGD2ECW6SDFW2VYOGYP6|D      |CUSTOMER|Key Account Manager (SAP DEMO)                              |
|  E    |0PAK_3FHMCKO1LCYLPEWW1WYAYIXEY|D      |CUSTOMER|Product Group (SAP DEMO)                                    |
|  E    |0PAK_3FHMCKVQ4BKB81GC7R0N8KW4Q|D      |CUSTOMER|Subdistrict (SAP DEMO)                                      |
|  E    |0PAK_3FHMCLB368RQ9AJ8JF5BSOTKA|D      |CUSTOMER|Sales Office Text                                           |
|  E    |0PAK_3FHMCLIRP7DFRX2OP97O2QSA2|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMCLQG85Z5AJM4V3A0CSQZU|D      |CUSTOMER|Sales Organization Master Data                              |
|  E    |0PAK_3FHMCLY4R4KUT65L0XCCMUPPM|D      |CUSTOMER|Profitability Analysis TD                                   |
|  E    |0PAK_3FHMCM5TA36KBSP16REOWWOFE|D      |CUSTOMER|Value Type Text                                             |
|  E    |0PAK_3FHMCMDHT1S9UF8HCLH16YN56|D      |CUSTOMER|Customer Accounting TD                                      |
|  E    |0PAK_3FHMCML6C0DZD1RXIFJDH0LUY|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FHMCMSUUYZOVOBDO9LPR2KKQ|D      |CUSTOMER|GIS Region Text                                             |
|  E    |0PAK_3FHMCN0JDXLEEAUTU3O214JAI|D      |CUSTOMER|Company Code Text                                           |
|  E    |0PAK_3FHMCN87WW73WXE9ZXQEB6I0A|D      |CUSTOMER|Sales Group Text                                            |
|  E    |0PAK_3FHMCNFWFUSTFJXQ5RSQL8GQ2|D      |CUSTOMER|Material Text                                               |
|  E    |0PAK_3FHMCNNKYTEIY6H6BLV2VAFFU|D      |CUSTOMER|Material Group Text                                         |
