21.04.2015                                                                                                  Dynamic List Display                                                                                                          1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ELTUID                   |OBJVERS|DEFTP|SUBDEFTP|REUSABLE|ISCELL|DEFAULTTEXT|MAPNAME                       |SOURCE_ELTUID|DEFAULTHINT|DEFAULTHINTFLAG|TXTSH               |TXTLG                                                       |
|  38M9YU83H0FMF3SPOHTI5T6E8|A      |REP  |        |X       |      |           |                              |             |           |               |New query           |Simple Query on Test PCA InfoCube Saved under new name      |
|  38MDROKLDZLROX76JD6VB76AO|A      |REP  |        |X       |      |           |                              |             |           |               |New query           |New Test Query for Testing Migration of Queries             |
|  3CPHFDSHKEUX9BUHU0DQ06Z5Z|A      |REP  |REP     |X       |      |           |0SD_C04_Q0004                 |             |           |               |                    |Average delivery leadtime                                   |
|  3IYGW6XAZGY7BULUP64FYAJPL|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q011                 |             |           |               |                    |Procurement Quantities per Contract                         |
|  3L3CDSNGPBM809SJABMYMGIS1|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q004                |             |           |               |                    |Incoming orders w/enhancements                              |
|  3L3LTQVMML6T2ITS4FKY24V81|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q007                |             |           |               |                    |Billing documents  w/enhancements                           |
|  3L4KIZ7NOXUN42WR2JSED40LT|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q006                |             |           |               |                    |Deliveries  w/enhancements                                  |
|  3L4N0ISP2OBFVGZFVU9LXH6OH|A      |REP  |        |X       |      |           |                              |             |           |               |New Query           |ZQ00206 - Generic WSOP Query (all Navigable)                |
|  3L4OK4UB3KH9KC4WQYG2JGJDD|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q010                |             |           |               |                    |Order, delivery and sales quantities  w/enhancements        |
|  3L4OK8GW1WQBCZBJI5JVADXJL|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q0012               |             |           |               |                    |Sales order material   w/enhancements                       |
|  3L94LNJVRIKA9329T5RJOWQA9|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q009                |             |           |               |                    |Order and Sales values w/enhancements                       |
|  3LENXRLN1BRRGQUJWDG9BAMTT|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q003                |             |           |               |                    |Credit Orders w/enhancements                                |
|  3LEO69590N6ZJJ1WAIWX6PES1|A      |REP  |REP     |X       |      |           |ZQ0SD_C03_Q013                |             |           |               |                    |Return Deliveries w/enhancements                            |
|  3MN1SGHPP1DW0FQSF3DPYC00H|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q002                |             |           |               |                    |Contract PO Summary                                         |
|  3MN1SPVOVBX2RZIJJU8Q8QFIP|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q003                |             |           |               |                    |Purchasing Group YTD PO Activity                            |
|  3MN1U4VIR21HFMMUAFS8ZRWNL|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q001                |             |           |               |                    |Purchasing Values by Vendor                                 |
|  3MN1UVZ1N4MI558UVI1KGPDLD|A      |REP  |REP     |X       |      |           |Z_0BBP_INV_Q001               |             |           |               |                    |Invoices Amounts and Status                                 |
|  3MN1V0O189W3IX4QFVH2LWLCH|A      |REP  |REP     |X       |      |           |Z_0BBP_PO_Q001                |             |           |               |                    |PO Line Data                                                |
|  3MNZMS32Q43399KUL1PFD9P8X|A      |REP  |REP     |X       |      |           |Z_0BBP_DS1_Q001               |             |           |               |                    |PO, Receipt and Invoice Variances                           |
|  3MNZNA0AYUQMPUYK7762TUPE9|A      |REP  |REP     |X       |      |           |Z_0BBP_DS1_Q002               |             |           |               |                    |Open Receipts                                               |
|  3MNZNZM2673OSZSFNEZ0CEFBL|A      |REP  |REP     |X       |      |           |Z_0BBP_CON_Q001               |             |           |               |                    |Receipt Amounts and Status                                  |
|  3MQJ6JQ1K1OHW6ITKI16BV5LD|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q005                |             |           |               |                    |Receipt and Invoice Analysis                                |
|  3MQJ8YZOZ6BEI9HFV2MOK6KGH|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q008                |             |           |               |                    |Vendor Overview                                             |
|  3MQJIXNYBFBAD7AXOYMNA9A1D|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q004                |             |           |               |                    |Purchasing Values by Vendor in Monthly Buckets              |
|  3MQJUPMOVBIPFARZRDUE8OETT|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q006                |             |           |               |                    |Purchasing Values by Purchasing Group                       |
|  3MQJXGF4QCPVZ6WUT1YBJXWCX|A      |REP  |REP     |X       |      |           |Z_ZC00025_Q007                |             |           |               |                    |Vendor Analysis                                             |
|  3MQJXKORB3GP7A20OQKJWOIS1|A      |REP  |REP     |X       |      |           |Z_0BBP_DS1_Q003               |             |           |               |                    |Three-Way Value Check                                       |
|  3MUTVN6VW78NGKWEJEN4YC3YP|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q004              |             |           |               |New Query           |Cost Center: MTD and YTD Plan/Actuals                       |
|  3MUUY048P2040TDZKFIOJHA8H|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q001              |             |           |               |New Query           |Cost Center: Actual Cost Year-on-Year Comparison            |
|  3MUX35DKC8M9VPZ6U21VSKBV5|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q005              |             |           |               |New Query           |Cost Center: Plan/Actual Comparison by Quarter              |
|  3MUX4M2UFNKCODF2VC44S1IQ9|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q006              |             |           |               |New Query           |Cost Center: Plan/Actual Comparison by Period               |
|  3MV34YHJS2ZRT0ADOV91LTZBL|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q002              |             |           |               |New Query           |Cost Center: Actual Cost Year-on-Year Comparison by Quarter |
|  3MV3TYH9EEJK5Z21DHJRNZJM9|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q003              |             |           |               |New Query           |Cost Center: Actual Cost Year-on-Year Comparison by Period  |
|  3MV6BN6NXFOYS8NTGASDTJ85T|A      |REP  |        |X       |      |           |Z_0COOM_C02_Q007              |             |           |               |New Query           |Internal Orders: MTD and YTD Plan/Actuals                   |
|  3NIRN3VLSRC78CRNC1L1JIH07|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0112               |             |           |               |                    |Deviations in Runtimes of BI Applications                   |
|  3OFLOZJYZVXUW6NQA0S2R94B5|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q003                |             |           |               |                    |CMIS General Process & Resource                             |
|  3OMT4QRLMZGRQJEA97PVVUO7L|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ001               |             |           |               |                    |Purchasing Spend Summary                                    |
|  3OMT51FNZ1M7LUEQCYYXUKW0H|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ002               |             |           |               |Purchasing Spend Det|Purchasing Spend Detail                                     |
|  3OMY2JUIDQ1GGH4D3KUICHMOH|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ004               |             |           |               |                    |Purchasing Spend Comparative Analysis                       |
|  3OOEI34OXEN5R2X9F5CWR0175|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ003               |             |           |               |                    |Supplier Diversity Spend                                    |
|  3OOHV7C01FETNSWHO894417O1|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ005               |             |           |               |                    |Total Invoice                                               |
|  3OPLNI1C12GAOJCSYU3TAXN2P|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ009               |             |           |               |Discount Opportunity|Discount Opportunity Analysis                               |
|  3OPOYMC1E1WAEFU6VPFAGUOSX|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ007               |             |           |               |                    |Unpaid Invoices                                             |
|  3OPP3TGJB0QX5JMX14GFEPES1|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ008               |             |           |               |                    |Total Invoice Comparison                                    |
|  3OQMHHWS3N3NKUERTNI2S6NM9|A      |REP  |        |X       |      |           |Z_ZC00031_ZQ006               |             |           |               |                    |Invoice Payment Detail                                      |
|  3Q48M1MOABV20K9I46ZDGPVRL|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q001              |             |           |               |                    |Purchasing Spend Detail                                     |
|  3Q7ZBRC5MV1JU96KYGV3KJRBL|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q002              |             |           |               |                    |Supplier Diversity Spend Detail -  &0T_CMOTT&               |
|  3Q93UQ0ENPIY8J3JO98DQ8J69|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q003              |             |           |               |                    |Supplier Diversity Spend Detail - YTD  &ZVRKYEAR&           |
|  3QECOJBMCTVU3ZKUX44QM12J5|A      |REP  |REP     |X       |      |           |Z_ZC00037_Q001_USD            |             |           |               |                    |CMIS Inventory Detail - USD at Monthly Avg Rates            |
|  3QECP3T0X3RVS3FYHADHF9N9T|A      |REP  |REP     |X       |      |           |Z_ZC00037_Q001_LOCAL          |             |           |               |                    |CMIS Inventory Detail - Local Currency                      |
|  3QEGYPWW15MKKW850CJ5VEWWH|A      |REP  |REP     |X       |      |           |Z_ZC00037_Q001_MONTH_END      |             |           |               |                    |CMIS Inventory Detail - Month End Spot Rates                |
|  3QFPNYAQP6E68ULQCKELTI68H|A      |REP  |REP     |X       |      |           |Z_ZC00037_Q001_AOP_RATE       |             |           |               |                    |CMIS Inventory Detail - AOP Rate                            |
|  3QMRN2QZJK1L7PTHSUPCEI6TT|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q002_LOCAL          |             |           |               |                    |CMIS Mfg Resource Center - Local Currency                   |
|  3QP56AY9SM8G7X7FUFKFZDVRL|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q002_USD            |             |           |               |                    |CMIS Mfg Resource Center - USD at Monthly Avg Rates         |
|  3QPF9O1TR61X5356OQ36Z9S0H|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q002_AOP_RATE       |             |           |               |                    |CMIS Mfg Resource Center - AOP Rate                         |
|  3QPG0CFCFI9AX8SW8OSG2V8Y9|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q001_USD            |             |           |               |                    |CMIS Mfg Process Cost - USD at Monthly Avg Rates            |
|  3QPHH5C0PWOR4JF16AS0KC6Q9|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q005              |             |           |               |                    |Invoice Payment Detail                                      |
|  3QPHHC5TKNZFOKPED0UXI31N5|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q006              |             |           |               |                    |Purchasing Spend Comparative Analysis                       |
|  3QPHHHX7SM9KNHAIQKM51K2Z5|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q007              |             |           |               |                    |Purchasing Spend Summary                                    |
|  3QPHHNWAJJ5F50F39YFOV330X|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q008              |             |           |               |                    |Supplier Diversity Spend                                    |
|  3QPHHUIEVBUE6F60AUG9IRZ81|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q009              |             |           |               |                    |Total Invoice                                               |
|  3QPHI4BR3JKZZ80NR9FYDAC5T|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q010              |             |           |               |                    |Total Invoice Comparison                                    |
|  3QPHIC7YL3W84E09R5UKPB0NL|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q011              |             |           |               |                    |Unpaid Invoices                                             |
|  3QPMG0LWBTBBGVBHLDAN1MUJ5|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q001_AOP_RATE       |             |           |               |                    |CMIS Mfg Process Cost - AOP Rate                            |
|  3QQKQEG3P4N5O2JJCKBPSTRM9|A      |REP  |REP     |X       |      |           |Z_ZC00032_Q001_LOCAL          |             |           |               |                    |CMIS Mfg Process Cost - Local Currency                      |
|  3QQR73JIGLX0038N1ZHB53IFL|A      |REP  |REP     |X       |      |           |Z_0FIAP_C03_Q004              |             |           |               |                    |Discount Opportunity Analysis                               |
|  3QS6OJCBGE9R4WKSZDKB0CKY9|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_SUMMARY_USD    |             |           |               |                    |CMIS Mfg Bill of Cost Summary - USD at Monthly Avg Rates    |
|  3QS8MS74FMCLPNDKPMVTOVGGH|A      |REP  |REP     |X       |      |           |Z_ZM00009_Q001_LOCAL          |             |           |               |                    |CMIS Photocost Margin Contribution - Local Currency         |
|  3QS8N74TAWK7XH7023FP8OYKX|A      |REP  |REP     |X       |      |           |Z_ZM00009_Q001_AOP_RATE       |             |           |               |                    |CMIS Photocost Margin Contribution - AOP Rate               |
|  3QS8X7Q4ZIX5SACSPNFWTCR2P|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_DETAIL_USD     |             |           |               |                    |CMIS Mfg Bill of Cost Process Detail - USD at Monthly Avg Ra|
|  3QS90GFT3ARVSRVDDH0HL78R5|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_SUMMARY_LOCAL  |             |           |               |                    |CMIS Mfg Bill of Cost Summary - Local Currency              |
|  3QS91AIVCTSTR21O886KYW7PT|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_SUMMARY_AOP_RAT|             |           |               |                    |CMIS Mfg Bill of Cost Summary - AOP Rate                    |
|  3QS920JZM3DAVFYG04471JV2P|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_DETAIL_LOCAL   |             |           |               |                    |CMIS Mfg Bill of Cost Process Detail - Local Currency       |
|  3QS937VAJ7S6WJMKWNBFQMMFL|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q001_DETAIL_AOP_RATE|             |           |               |                    |CMIS Mfg Bill of Cost Process Detail - AOP Rate             |
|  3QTASPSDZ0JULPAJG9TRZV381|A      |REP  |REP     |X       |      |           |Z_ZM00009_Q001_USD            |             |           |               |                    |CMIS Photocost Margin Contribution - USD at Monthly Avg Rate|
|  3QUQXRWSP3KW73N604OXG5C7L|A      |REP  |REP     |X       |      |           |Z_ZC00033_Q002_LOCAL          |             |           |               |                    |CMIS Mfg Spend Report - Local Currency                      |
|  3QUQYIDA0ACSCQMU3OR82WX01|A      |REP  |REP     |X       |      |           |Z_ZC00033_Q002_AOP_RATE       |             |           |               |                    |CMIS Mfg Spend Report - AOP Rate                            |
|  3QUTRJ8ZCQRRH3QL5VJCK8UMP|A      |REP  |REP     |X       |      |           |Z_ZO00017_Q002_USD            |             |           |               |                    |CMIS Mfg Spend Matl Detail - USD at Monthly Avg Rates       |
|  3QUWB3LCC8V9O01D8Y6VD7UVL|A      |REP  |REP     |X       |      |           |Z_ZC00033_Q002_USD            |             |           |               |                    |CMIS Mfg Spend Report - USD at Monthly Avg Rates            |
|  3QXIVK2T7GIP8JK626L5H3XG1|A      |REP  |REP     |X       |      |           |Z_ZO00017_Q002_LOCAL          |             |           |               |                    |CMIS Mfg Spend Matl Detail - Local Currency                 |
|  3QXIW9GVVUA1T1ULCKBQPLONL|A      |REP  |REP     |X       |      |           |Z_ZO00017_Q002_AOP_RATE       |             |           |               |                    |CMIS Mfg Spend Matl Detail - AOP Rate                       |
|  3R3DE3OLVAN7FHQOOL1VT5RBZ|A      |REP  |REP     |X       |      |           |Z_ZC00027_Q008                |             |           |               |                    |Daily Inventory Valuation                                   |
|  3R445NNBQSRD9F0H88012GB6N|A      |REP  |REP     |X       |      |           |Z_ZC00027_Q009                |             |           |               |                    |Daily Inventory Quantity                                    |
|  3RBP9K4QL05JR5QD08PM3P89D|A      |REP  |REP     |X       |      |           |Z_ZC00036_Q002_PROCESS_USD    |             |           |               |                    |CMIS Process Costs and Quantity - USD at Monthly Avg Rates  |
|  3RE948GM109S5YJB0TRP30XLD|A      |REP  |REP     |X       |      |           |Z_ZC00034_Q002                |             |           |               |                    |CMIS UCOGM - USD at Monthly Avg Rates                       |
|  3RGH1I2XRVMOPRRI4HMROX02N|A      |REP  |REP     |X       |      |           |Z_ZM00008_Q005                |             |           |               |                    |Monthly Inventory Valuation                                 |
|  3RIYLU0ATJ569SD43LBPCUWPD|A      |REP  |REP     |X       |      |           |Z_ZC00043_Q001                |             |           |               |                    |CMIS Traditional Variance Redistribution Summary            |
|  3RK0FXTOHXOQF44SE35STPNZ3|A      |REP  |REP     |X       |      |           |Z_ZM00008_Q007                |             |           |               |                    |Monthly Inventory Quantity                                  |
|  3VFT093BMDQ88O3WV34NJ86C1|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q005                |             |           |               |                    |WEB: Comparative Sales with Monthly Timeframes              |
|  3VFV6K4M4KRBB0L8O7PJM7A4X|A      |REP  |REP     |X       |      |           |Z_ZM00010_Q001                |             |           |               |                    |WEB: Customer Profile Query                                 |
|  3VGXPNK9OHCAFXFMFCZ7V1VKH|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q004                |             |           |               |                    |WEB: Comparative Sales with Standard Timeframes             |
|  3VGYPGIXG5CW05V6AQG2GQ7M9|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q007                |             |           |               |                    |WEB: Invoice Detail                                         |
|  3VGYWNK0V1FE49Q72LE5IYWWH|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q007_JMP            |             |           |               |                    |WEB: Invoice Detail - Jump                                  |
|  3VHZQ47HHKQ6KNYPX9R0MAUXD|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q003                |             |           |               |                    |WEB: Waterfall Analysis                                     |
|  3VI9O6HP094WSBZY3KFDKQ7M9|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q006                |             |           |               |                    |WEB: Comparative with Daily Timeframes                      |
|  3VPE7BQJD970ZHLVCG0AUMSR5|A      |REP  |REP     |X       |      |           |Z_ZIS00002_Q001               |             |           |               |                    |WEB: Material Profile                                       |
|  3WJK1ICXS6988AXQ5WE6G81PB|A      |REP  |REP     |X       |      |           |Z_ZIS00003_Q001               |             |           |               |                    |Material Price Report                                       |
|  3YQDS7FTUK0Q61D6RU31X4T1O|A      |REP  |REP     |X       |      |           |Z_ZC00034_Q002_AOP            |             |           |               |                    |CMIS UCOGM -  at AOP Rate                                   |
|  3Z2Y5BBGLHOORSB0OV6IT6H47|A      |REP  |        |X       |      |           |Z_ZM00016_Q010                |             |           |               |                    |Daily Sales by Region                                       |
|  3Z34GLE6231DY1X3OMGD2G1EV|A      |REP  |        |X       |      |           |Z_ZM00016_Q012                |             |           |               |                    |Daily Sales by Region (percent calc)                        |
|  3Z5MTQRMM0CTMHA0T47Q395VW|A      |REP  |        |X       |      |           |Z_ZM00016_Q011                |             |           |               |                    |Daily Sales Gap by Day (web)                                |
|  3Z6WWWQTXZ0I1A7J76MYE49VW|A      |REP  |        |X       |      |           |Z_ZM00016_Q013                |             |           |               |                    |Daily Sales Gap by Day % of month (web)                     |
|  3ZC8OVXPLXV9ILHWTSZQGJ3M4|A      |REP  |        |X       |      |           |Z_ZM00017_Q001                |             |           |               |                    |Detailed daily Sales                                        |
|  3ZHRGQJS1ULTUGNHY8L1WSOX3|A      |REP  |        |X       |      |           |Z_0PS_C02_Q0002               |             |           |               |                    |Technical Project Overview                                  |
|  3ZHRKJ3T50JGZ6ETOQ7CNPV6V|A      |REP  |        |X       |      |           |Z_0PS_C04_Q0004               |             |           |               |                    |WBS Element: Budget                                         |
|  3ZHRKVHBORIKZHQV35Z4UVSPZ|A      |REP  |        |X       |      |           |Z_0PS_C04_Q0005               |             |           |               |                    |WBS Element: Costs/Variances                                |
|  3ZHRL9KAG7BD4TEHSA9NAHFZB|A      |REP  |        |X       |      |           |Z_0PS_C04_Q0006               |             |           |               |                    |Commercial Project Overview                                 |
|  3ZHRLSZADO6V7SKCJA6OPG753|A      |REP  |        |X       |      |           |Z_0PS_C05_Q0002               |             |           |               |                    |CR: List of Work Packages                                   |
|  3ZHRMCEAB52DARQ7AA3Q4EYAV|A      |REP  |        |X       |      |           |Z_0PS_C05_Q0003               |             |           |               |                    |CR: Schedule f. Project Definition/WBS Elements             |
|  3ZL56CLM6G9T3ZG4ZG3UP4QOC|A      |REP  |        |X       |      |           |Z_ZM00016_Q005_CR             |             |           |               |                    |CR Daily Sales Traditional vs Digital                       |
|  3ZM7RRMSCLVZNSHLTPGYO0J64|A      |REP  |        |X       |      |           |Z_ZM00016_Q006_CR             |             |           |               |                    |CR Daily Sales Segment and SPG                              |
|  3ZM7UYUOIUCOHI6FSC1E2IK98|A      |REP  |        |X       |      |           |Z_ZM00016_Q007_CR             |             |           |               |                    |CR Daily Sales Gap by Day                                   |
|  3ZTFVQE93S9SH6ODJC0FIC1L8|A      |REP  |        |X       |      |           |Z_ZC00053_Q001                |             |           |               |                    |Non-SAP Daily Sales                                         |
|  417F47QCR6P213I8D209FSIAO|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q003                 |             |           |               |                    |Overdeliveries                                              |
|  4209YQIQAX7R9KNCSMGK63EA4|A      |REP  |        |X       |      |           |Z_ZM00016_Q016_CR             |             |           |               |                    |CR Daily Sales Flexible Format                              |
|  42M6U5FCLKKM93YLX8MANIMFG|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q002                |             |           |               |                    |Comparative Report                                          |
|  42OHT3BEPULOFULW8C7VCJ6RW|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q001                |             |           |               |                    |Planning Report                                             |
|  430YJPZBLLXQGK39INI10JDU1|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0132               |             |           |               |                    |Deviations in Runtimes of InfoProviders                     |
|  433S3WPHOKXJ92UFJF3XYL4P8|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q007                |             |           |               |                    |CY Actual vs CY ACP Report (Adj)                            |
|  433SAO5UNAZALH9OHBB4MUFPO|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q009                |             |           |               |                    |Comparative Report with Currency Conversion                 |
|  433T97AC1FVFZ537593TH14B0|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q003                |             |           |               |                    |Run Rate Report (Adj)                                       |
|  434C8T999CAOKKU4UWL22HRT8|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q004                |             |           |               |                    |Run Rate Comparative Report (Adj)                           |
|  4352H6N1EI59E5CSVMVBWQJGS|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q005                |             |           |               |                    |3 Way Comparative Report                                    |
|  4358366A4J2GN3MTEPEUTB4LO|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q006                |             |           |               |                    |CY Actual vs LY Actual Report (Adj)                         |
|  435JBX0PNMQAQP7BGHRHYVBBG|A      |REP  |REP     |X       |      |           |Z_ZM00020_Q008                |             |           |               |                    |Planning Report with Currency Conversion                    |
|  437DTZQUW5LZLFBUBMDYLQZ2K|A      |REP  |        |X       |      |           |Z_ZM00020_Q090                |             |           |               |                    |Financial Reporting Listing                                 |
|  43RQJ93APALDAFF4VFMXEOHL8|A      |REP  |REP     |X       |      |           |Z_ZM00021_Q002                |             |           |               |                    |SNP S&OP Traditional Products                               |
|  441XW1U82PG0ZGT9BCMVPALN0|A      |REP  |REP     |X       |      |           |Z_0BBP_DS1_Q004               |             |           |               |                    |PO Details                                                  |
|  44295JIOE1NI4PYZTOBPLKHZG|A      |REP  |        |X       |      |           |Z_ZC00083_Q001                |             |           |               |                    |Guidance Report                                             |
